SKU;EAN;Nazwa;Marka;Kategoria;Cena_brutto_PLN;Cena_netto_PLN;VAT_procent;Cena_poprzednia;Cena_zakupu;Stan;Waga_kg;Zdjecia_URL;Krotki_opis;Opis_HTML;ID_dostawcy;Zrodlo
ExBTTO-24HE-KH;8596638004388;Pałka teleskopowa hartowana ESP Ergonomic Easy Lock 24'' Khaki (ExBTTO-24HE-KH);ESP - Euro Security Products;*Kategoria tymczasowa;388;315.45;23;;;7;0.637;https://hurt.sharg.pl/hpeciai/ea94ab243688dc95220c39418f0cc5b2/125248_1.webp|https://hurt.sharg.pl/hpeciai/942550cf147cc6ddea6587c756f4504e/125248_4.webp|https://hurt.sharg.pl/hpeciai/7631475e30bbbf50f0022571d5a3e558/125248_3.webp|https://hurt.sharg.pl/hpeciai/1c2071096bc07ffc543514af4370ed3a/125248_2.webp;;;125248;sharg
264;5905247688910;Kabura Dasta Belt Holster do rewolweru 4'';Dasta;*Kategoria tymczasowa;73;59.35;23;;;1;0.063;https://hurt.sharg.pl/hpeciai/535f183a94a146c2b4e48a213f1008ee/125255_1.webp|https://hurt.sharg.pl/hpeciai/63a3ab095a57710e66ccc638b9f7a87b/125255_2.webp|https://hurt.sharg.pl/hpeciai/ee99810e6f448ca5831c4329754e17ff/125255_3.webp;;;125255;sharg
205-1/S;5905247688880;Kabura Dasta z klipsem do Beretta 92, Glock 17, SIG P-226, CZ 75/85, Colt M1911, Browning GP DA9 - prawa;Dasta;*Kategoria tymczasowa;83;67.48;23;;;0;0.092;https://hurt.sharg.pl/hpeciai/31e92cefc178e218eb72aa79118478c1/125258_1.webp;Kabura Dasta (prawa) z metalowym klipsem, kompatybilna z Beretta 92, Glock 17, SIG P226, CZ 75/85, Colt M1911, Browning GP DA9. Wykonana z odpornego nylonu, zapewnia szybkie mocowanie do paska, stabilne osadzenie broni i komfort codziennego noszenia.;"<div class=""iai-section-b518b711-327c-49dd-a6df-803f52333dbe-description-wrapper""> <div class=""iai-section-b518b711-327c-49dd-a6df-803f52333dbe iai-section-b518b711-327c-49dd-a6df-803f52333dbe-html""> <p><br>Kabura <strong>Dasta</strong> to praktyczne rozwiązanie dla osób poszukujących <strong>niezawodnego</strong> i <strong>lekkiego</strong> systemu noszenia pistoletu. Wykonana z <strong>grubego</strong>, <strong>odpornego na przetarcia nylonu</strong>, łączy trwałość materiału z przemyślaną ergonomią. Model zaprojektowano tak, aby przenoszenie broni było <strong>dyskretne</strong>, a jednocześnie <strong>bezpieczne</strong> — miękka wyściółka chroni powierzchnię broni, natomiast konstrukcja ułatwia intuicyjny chwyt i płynny dostęp podczas wyciągania.</p> <p>Kluczowymi elementami funkcjonalnymi są: <strong>metalowy klips</strong> do szybkiego mocowania, <strong>pasek stabilizujący</strong> zwiększający bezpieczeństwo noszenia oraz <strong>miękka wyściółka</strong> chroniąca wykończenie broni. Ergonomiczne wycięcie przy rękojeści ułatwia natychmiastowy dostęp do chwytu i skraca czas wyciągnięcia broni. Wszystkie elementy wykonane są z myślą o powtarzalności ruchu i pewności osadzenia pistoletu w kaburze.</p> <p>Korpus kabury zbudowano z <strong>nylonu o gęstym splocie</strong>, <strong>odpornego na wilgoć</strong> i <strong>mechaniczne ścieranie</strong>, co zapewnia długotrwałą eksploatację przy codziennym użytkowaniu. Szwy i łączenia zostały wzmocnione, by utrzymać kształt i stabilność osadzenia broni. Profile i kształt korpusu zoptymalizowano pod kątem ergonomii użytkownika, a zastosowany klips daje możliwość szybkiego montażu na pasku bez konieczności zdejmowania akcesoriów. Całość projektowano z myślą o dyskrecji, wygodzie i odporności na intensywne użytkowanie.</p> <p>Kompatybilność z powszechnymi konstrukcjami (m.in. <strong>Reximex TRX9</strong>, <strong>Beretta 92</strong>, <strong>Glock 17</strong>, <strong>SIG P226</strong>, <strong>CZ 75/85</strong>, <strong>Colt M1911</strong>, <strong>Browning GP DA9</strong>, <strong>Vesta PDW50</strong>) czyni kaburę uniwersalnym wyborem do codziennego użytku. Dodatkowy metalowy klips pozwala na szybkie przypięcie do paska lub krawędzi spodni, a elementy stabilizujące zapobiegają przesuwaniu się broni podczas ruchu.</p> <p><strong>Kabura do pistoletów:</strong></p> <ul> <li>Reximex: TRX9</li> <li>Beretta: 92</li> <li>Glock: 17</li> <li>SIG: P226</li> <li>CZ: 75/85</li> <li>Colt: M1911</li> <li>Browning: GP DA9</li> </ul> <p><strong>Kabura do broni RAM:</strong></p> <ul> <li>Vesta PDW50</li> </ul> <p><strong>Kabura do wiatrówek:</strong></p> <ul> <li>Borner 17</li> <li>Umarex Glock 17</li> </ul> <p><strong>Dane techniczne:</strong><br>Numer katalogowy: 205-1/S<br>Do pistoletów: Reximex TRX9, Beretta 92, Glock 17, SIG P226, CZ 75/85, Colt M1911, Browning GP DA9, Vesta PDW50, Umarex Glock17<br>Opcja przenoszenia: OWB (kabura zewnętrzna)<br>Typ kabury: Open Holsters<br>Typ mocowania: Klips<br>Wersja: Dla praworęcznych<br>Tworzywo: Nylon<br>Kolor: Black<br>Waga: b.d.<br>Producent: Dasta<br>Kraj pochodzenia: Czechy</p> <p>Opracowanie: firma <strong>Sharg®</strong></p> </div> </div>";125258;sharg
205-1;5905247688873;Kabura Dasta do Beretta 92, Glock 17, SIG P-226, CZ 75/85, Colt M1911, Browning GP DA9 - prawa;Dasta;*Kategoria tymczasowa;78;63.41;23;;;2;0.07;https://hurt.sharg.pl/hpeciai/d6a9924d00c9d43093aaac8c50d8d5f3/125259_1.webp|https://hurt.sharg.pl/hpeciai/e0f70cbb7f1910608ce9f9cedaa34d1d/125259_2.webp|https://hurt.sharg.pl/hpeciai/3e3e7f7cda299746391c80caa66015d8/125259_3.webp;;;125259;sharg
727;5905247688750;"Kabura Dasta do pistoletu pełnowymiarowego z oświetleniem; do pistoletu kompaktowego z długim oświetleniem 020/25";Dasta;*Kategoria tymczasowa;73;59.35;23;;;5;0.097;https://hurt.sharg.pl/hpeciai/20bbcba65b0dc83f343358d95b7386b3/125271_1.webp;;;125271;sharg
644-1B;5905247688699;Saszetka Dasta na broń krótką czarna + dwa magazynki - 010/25;Dasta;*Kategoria tymczasowa;208;169.11;23;;;1;0.323;https://hurt.sharg.pl/hpeciai/cbdf44f9a26d86d4ccb4bd1628dea7be/125277_1.webp;;;125277;sharg
644B;5905247688682;Saszetka Dasta na broń krótką czarna - 010/25;Dasta;*Kategoria tymczasowa;178;144.72;23;;;8;0.251;https://hurt.sharg.pl/hpeciai/98662453e31e9a9404320221cf4531f2/125278_1.webp;;;125278;sharg
529B;5905247688613;Pas Dasta do broni długiej gumowany antyposlizgowy czarny - 040/25;Dasta;*Kategoria tymczasowa;85;69.11;23;;;1;0.065;https://hurt.sharg.pl/hpeciai/0f8b3c21020e93c7ccf09b024085a9e6/125285_2.webp|https://hurt.sharg.pl/hpeciai/cfcf54c6bec986654c51fb1929aac40d/125285_1.webp|https://hurt.sharg.pl/hpeciai/77169735695f091a36023b59011eb025/125285_3.webp;;;125285;sharg
528;5905247688606;Dasta pas nośny do broni z antyposlizgową gumą - pomarańczowy;Dasta;*Kategoria tymczasowa;48;39.02;23;;;1;0.055;https://hurt.sharg.pl/hpeciai/453124e25bf76c09db79cb7e7241ea88/125286_2.webp|https://hurt.sharg.pl/hpeciai/a390ce84282c96b448a1ebad34000dd1/125286_1.webp|https://hurt.sharg.pl/hpeciai/788a573b65938f1e73d7110ba12d8901/125286_3.webp;;;125286;sharg
504;5905247688590;Dasta obrotowy uchwyt do pasa do pałki tonfa Bonowi ES 6'' -black;Dasta;*Kategoria tymczasowa;68;55.28;23;;;10;0.085;https://hurt.sharg.pl/hpeciai/d8ddfc12288a30b9074cf6a8179c4c86/125287_1.webp;;;125287;sharg
