SKU;EAN;Nazwa;Marka;Kategoria;Cena_brutto_PLN;Cena_netto_PLN;VAT_procent;Cena_poprzednia;Cena_zakupu;Stan;Waga_kg;Zdjecia_URL;Krotki_opis;Opis_HTML;ID_dostawcy;Zrodlo
3005;5602381030055;Etui z korka na nóż MAM Cork Bag 125mm (3005);MAM;Artykuły dla dorosłych > Broń > Noże szturmowe;70;56.91;23;;;3;0.029;https://hurt.sharg.pl/hpeciai/971a3c8e81334e3b7bd5d715426467ad/112153_3.jpg|https://hurt.sharg.pl/hpeciai/f237d874b5a6aa098743e0ad65041910/112153_1.jpg|https://hurt.sharg.pl/hpeciai/84290332dcf6170490925e1859a91f9b/112153_2.jpg;Cork Bag 125 mm wykonane z korka, stylowe etui na nóż składany od portugalskiej firmy MAM. Funkcjonalny pokrowiec zapinany na zatrzask Prym, umożliwia przenoszenie scyzoryków o długości do 125mm. Etui pokryto w 100% naturalnym fornirem korkowym.;"<p style=""margin: 0pt; text-align: justify;""><strong>Cork Bag 125 mm, </strong>stylowa pochewka <span>przeznaczona do noży składanych, </span>wykonana z naturalnego korka przez portugalską markę <strong>MAM. </strong>Funkcjonalne etui zabezpieczone zatrzaskiem typu <strong>Prym</strong> umożliwia przenoszenie scyzoryków o długości do <strong>125 mm. </strong>Pokryta okleiną ze 100% naturalnego, przyjaznego dla środowiska korka. Wzmocniona wzdłuż krawędzi szwami dla zwiększenia trwałości. Mocowanie do paska lub ekwipunku umożliwia noszenie noża w pozycji pionowej, zapewniając wygodny dostęp i bezpieczne przechowywanie noża.</p> <p><strong>Dane techniczne:</strong><br />Numer produktu: 3005<br />Nazwa: MAM Cork Bag 125 mm<br />Długość: 130.0 mm x 70.0 mm / 5.12"" x 2.76""<br />Waga: <span>26.0 g / 0.92 oz<br /></span><br />Materiał: Cork (Korek)<br />Kolor: Brown</p> <p>Designer: MAM<span><br /></span>Marka: <span>MAM</span><br />Producent: <span>M.M.M. Fábrica de Cutelarias Filmam, Lda., Portugalia</span><br /><span>Kraj pochodzenia: Portugalia</span></p> <p>Opracowanie: firma<span> </span><strong>Sharg®</strong></p>";112153;sharg
3006;5602381030062;Etui z korka na nóż MAM Cork Bag 145mm (3006);MAM;Artykuły dla dorosłych > Broń > Noże szturmowe;75;60.98;23;;;2;0.036;https://hurt.sharg.pl/hpeciai/676d2e75c081cc4c470d604c5e61cceb/112154_3.jpg|https://hurt.sharg.pl/hpeciai/44bb334b93c3d801f2ec5399a8079903/112154_1.jpg|https://hurt.sharg.pl/hpeciai/dcc5e9359aff473ba3eff2b0ed1fcf25/112154_2.jpg;Cork Bag 145mm wykonane z korka, stylowe etui na nóż składany od portugalskiej firmy MAM. Funkcjonalny pokrowiec zapinany na zatrzask Prym, umożliwia przenoszenie scyzoryków o długości do 145 mm. Etui pokryto w 100% naturalnym fornirem korkowym.;"<p style=""margin: 0pt; text-align: justify;""><strong>Cork Bag 145 mm, </strong><span>stylowa pochewka<span> </span></span><span>przeznaczona do noży składanych, </span><span>wykonana z naturalnego korka przez portugalską markę<span> </span></span><strong>MAM. </strong><span>Funkcjonalne etui zabezpieczone zatrzaskiem typu<span> </span></span><strong>Prym</strong><span><span> </span>umożliwia przenoszenie scyzoryków o długości do<span> </span></span><strong>145 mm. </strong><span>Pokryta okleiną ze 100% naturalnego, przyjaznego dla środowiska korka. Wzmocniona wzdłuż krawędzi szwami dla zwiększenia trwałości. Mocowanie do paska lub ekwipunku umożliwia noszenie noża w pozycji pionowej, zapewniając wygodny dostęp i bezpieczne przechowywanie noża.</span></p> <p><strong>Dane techniczne:</strong><br />Numer produktu: 3006<br />Nazwa: MAM Cork Bag 145 mm<br />Długość: <span>145.0 mm x 70.0 mm / 5.71 ""x 2.76""</span><br />Waga: 34.0 g / 1.20 oz</p> <p>Materiał: Cork (Korek)<br />Kolor: Brown</p> <p>Designer: MAM<span><br /></span>Marka: <span>MAM</span><br />Producent: <span>M.M.M. Fábrica de Cutelarias Filmam, Lda., Portugalia</span><br /><span>Kraj pochodzenia: Portugalia</span></p> <p>Opracowanie: firma<span> </span><strong>Sharg®</strong></p>";112154;sharg
337-000;5906660005216;Śrut BBs RazorGun Golden 4.46mm, 1500szt (337-000);RazorGun;OFERTA/STRZELECTWO/ŚRUTY, KULKI, CO2/ŚRUTY, KULKI, CO2 Śrut do wiatrówek diabolo;19;15.45;23;;;0;0.55;https://hurt.sharg.pl/hpeciai/01d30efe04f1fcc9843cd6653fe36ea2/112155_1.jpg;337-000 podkalibrowe, polerowane miedziowane kulki stalowe BBs kal. 4.46mm marki RazorGun. Przeznaczone do zasilanych kapsułami CO2 wielostrzałowych wiatrówek: Ekol, Zoraki Umarex, CyberGun. Praktyczny lejek ułatwia szybkie ładowanie magazynka. Op 1500szt;"<p style=""margin: 0pt; text-align: justify;""><span><strong>RazorGun Golden BB's</strong> (337-000) - </span><strong>podkalibrowe,</strong> polerowane precyzyjne wykonane <strong>miedziowane</strong> kulki stalowe BBs w kalibrze <strong>4.46 mm</strong> marki <strong>RazorGun. </strong><span>Dzięki kulistemu kształtowi nabierają w przewodzie lufy ruchu obrotowego zwiększając właściwości balistyczne oraz penetracyjne. </span>Praktyczny lejek ułatwia szybkie ładowanie magazynka. Opakowanie <strong>1500 szt.</strong></p> <p style=""margin: 0pt; text-align: justify;""> </p> <p style=""margin: 0pt; text-align: justify;"">Przeznaczone do zasilanych kapsułami CO2 wielostrzałowych wiatrówek (pistoletów oraz rewolwerów): <strong>Ekol </strong>(Viper),<strong> Zoraki </strong>(Atak Arms),<strong> CyberGun, Crosman, RazorGun </strong>oraz <strong>Umarex</strong> m.in. Blackwater, Sig Sauer, Jericho, Walther CP99 Compact, Beretta Elite II, Walther PPK/s, Beretta Px4 Storm, Desert Eagle Compact.</p> <p style=""margin: 0pt;""> </p> <p style=""margin: 0pt;""><strong>Dane techniczne:</strong><br /><span>Numer produktu: 337-000</span><br /><span>Nazwa: Airgun Golden BB's</span><br /><span>Kaliber: 4.46 mm / .177""</span><br /><span>Masa: 0.35 g / 5.4 gr</span><br /><span>Kształt: Kulisty</span><br /><span>Wykończenie: Miedziowany</span><br /><span>Materiał: Stal</span><br /><span>Opakowanie: 1500 szt.</span><br /><span>Producent: RazorGun, Polska </span></p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;""> </p> <p style=""text-align: left; margin: 0pt 0pt 0pt 0pt;"">Opracowanie: firma <strong>Sharg®</strong></p>";112155;sharg
DM-160-ZLU;5905247619280;Zapasowy wkład do lusterka inspekcyjnego 162mm ESP (DM-160-ZLU);ESP - Euro Security Products;Hobby/Militaria i strzelectwo/Akcesoria do samoobrony;143;116.26;23;;;4;0.392;https://hurt.sharg.pl/hpeciai/905a1a781cd4d05944401fa5bbcc58de/112162_1.jpg|https://hurt.sharg.pl/hpeciai/f9666b342a5e49701bc47da4230ca764/112162_3.jpg;DM-160-ZLU opcjonalny, kompletny wkład z lustrem i obudową. Okrągły panoramiczny kształt zwiększa kat obserwacji np. za rogiem, średnica zewnętrzna 162mm, średnica powierzchni lustra 145mm. Do lusterek inspekcyjnych: DM-160, DM-160-LM, DM-160-LT firmy ESP;"<p style=""text-align: justify;""><strong>DM-160-ZLU,</strong> opcjonalny, <span>kompletny </span>wkład<strong> z lustrem</strong> i <strong>obudową.</strong> Okrągły panoramiczny kształt lustra zwiększa kat obserwacji np. za rogiem. Średnica zewnętrzna wkładu <strong>162 mm,</strong><span><span> </span>średnica powierzchni lustra<span> </span></span><strong>145 mm. </strong>Wymienny wkład do lusterek inspekcyjnych:<strong> DM-160, DM-160-LM, DM-160-LT</strong> czeskiej firmy <strong>ESP.</strong></p> <p style=""margin: 0pt; text-align: justify;"">Przeznaczone do kontroli pirotechnicznej w miejscach trudno dostępnych np. inspekcja pojazdów (podwozia samochodów), wysokich półek itp. oraz obserwację z ukrycia. <span>Wykonane z nietłukącego polimeru, akrylu. Wkład z lustrem jest łatwo wymienialny ze aluminiowego styliska. Nie dotykać lustra podczas regulacji, jeśli zachodzi potrzeba należy poluzować śrubę mocującą.</span></p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;""> </p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;""><strong>Dane techniczne:</strong></p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;"">Numer produktu: DM-160-ZLU</p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;"">Nazwa: Wkład lusterka inspekcyjnego Ø 162 mm</p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;"">Średnica zewnętrzna: 162.0 mm / 6.38""</p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;"">Waga: 332.0 g / 11.71 oz</p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;"">Producent: ESP (Euro Security Products), Czechy</p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;""> </p> <p style=""text-align: left; margin: 0pt 0pt 0pt 0pt;"">Opracowanie: firma <strong>Sharg®</strong> bezpośredni importer</p>";112162;sharg
SGHN-64-200;8594007499599;Uchwyt ESP na paralizator Power 200, Scorpy 200 z klipsem (SGHN-64-200);ESP - Euro Security Products;Hobby/Militaria i strzelectwo/Strzelectwo/Akcesoria do broni palnej/Kabury i pasy nośne;83;67.48;23;;;10;0.08;https://hurt.sharg.pl/hpeciai/a21353690e1644b16960323017aade72/112163_1.jpg|https://hurt.sharg.pl/hpeciai/bfc472024591a6eb6253bfe9a1831005/112163_2.jpg|https://hurt.sharg.pl/hpeciai/7cac150c61f3493abd17fbbfb6dd102d/112163_3.jpg;SGHN-P/S-2-KLIP profesjonalny, uniwersalny uchwyt z nylonu do przenoszenia paralizatora elektrycznego firmy ESP: POWER 200 lub SCORPY 200 z metalowym klipsem, wsuwanym uchwytem transportowym typu UBC, mocowanym na pas lub do taśm w standardzie MOLLE...;"<p style=""text-align: justify;""><strong>SGHN-P/S-2-KLIP</strong> <span>profesjonalny, uniwersalny uchwyt</span> do przenoszenia paralizatora elektrycznego<span> firmy ESP:</span> <strong>POWER 200</strong> lub <strong>SCORPY 200 </strong><span>z metalowym klipsem, </span><span>wsuwanym uchwytem transportowym typu<span> </span></span><strong>UBC,</strong><span><span> </span>mocowanym na pas lub do taśm w standardzie</span><strong><span> </span>MOLLE.</strong></p> <p style=""text-align: justify;"">Zaprojektowany aby jak najbliżej przylegać do sylwetki użytkownika futerał umożliwia szybkie oraz intuicyjne dobycie paralizatora. Lekki, zapinany na zatrzask pasek, zabezpiecza przed uszkodzeniem oraz wysunięciem się z pokrowca. <span>Wykonany z wodoodpornego nylonu.</span></p> <p style=""text-align: justify;""><strong>METAL CLIP</strong> - płaski wsuwany na pas lub na <strong>kamizelkę taktyczną </strong>do taśm w standardzie <strong>MOLLE</strong> (Modular Lightweight Load-carrying Equipment) klips. Może być mocowany do każdej kamizelki bądź plecaka zaopatrzonego w taśmy standardu MOLLE. Pasuje do większości pasów o szerokości <strong>32-55 mm,</strong> czynność tę można wykonać jedną ręką, nie zachodzi potrzeba odpinania pasa.</p> <p><strong>Dane techniczne:</strong><br />Numer produktu: SGHN-P/S-2-KLIP<span> </span><br />Nazwa: ESP Nylon Holder <span>with Metal Clip</span> for Stun Guns: Power 200, Scorpy 200<br />Rodzaj mocowania: Metal Clip<br />Kolor: Black<br />Materiał: Nylon<br />Waga: 76.0 g / 2.68 oz<br />Producent: ESP (Euro Security Products), Republika Czeska<br /> <br />Opracowanie: firma <strong>Sharg®</strong></p>";112163;sharg
Z60051;8592732037994;Buty Bennon Clifton Sandal, Brown (0446020040);Bennon;Sprzęt sportowy > Rekreacja na świeżym powietrzu > Wędkarstwo > Spodniobuty;178;144.72;23;;;6;1.066;https://hurt.sharg.pl/hpeciai/143c2f03e7c2bb5884134f445ae05cb4/112166_2.jpg|https://hurt.sharg.pl/hpeciai/886ef4d9f7b72aa1ebbd0d7eacb14839/112166_3.jpg|https://hurt.sharg.pl/hpeciai/dcd1b4087e594e8044c529586e5325b4/112166_4.jpg|https://hurt.sharg.pl/hpeciai/ffdfda0a5b667097310125e2f2a12b32/112166_5.jpg|https://hurt.sharg.pl/hpeciai/906edfe981df6df460450f878bebb290/112166_1.jpg;BNN Clifton Sandal (Z60051), lekkie, wygodne sportowe sandały marki Bennon, przeznaczone do aktywnego wypoczynku oraz rekreacji na świeżym powietrzu. Stabilne dzięki wzmocnieniu i zamkniętej części piętowej. Dostępne rozmiary EU: 36-47.;"<p style=""text-align: justify;""><strong>BNN Clifton Sandal,</strong> lekkie i wygodne sportowe sandały marki <strong>Bennon.</strong> Przeznaczone do aktywnego wypoczynku oraz rekreacji na świeżym powietrzu. Stabilne dzięki wzmocnieniu i zamkniętej części piętowej.</p> <p style=""text-align: justify;""><strong>Wierzch</strong><span><span> </span>-<span> sandwich<span> , </span>brązowy materiał syntetyczny <strong>PU</strong> </span>łączony z czarnym materiałem tekstylnym <strong>MESH</strong></span><strong>. </strong></p> <p style=""text-align: justify;""><strong>Podszewka</strong><span><span> </span>- czarny materiał tekstylny</span></p> <p style=""text-align: justify;""><strong>Wkładka</strong><span><span> </span>- wymienna <strong>EVA + MESH,</strong> </span><span>anatomiczna z miękkim wzmocnieniem pięty.</span></p> <p style=""text-align: justify;""><strong>Dostępne rozmiary EU:</strong> 36-47 </p> <p style=""margin: 0pt; text-align: justify;""><strong>Orientacyjna dł</strong><strong>ugość wkładki:</strong></p> <p style=""margin: 0pt; text-align: justify;""><strong>36</strong> (225mm), <strong>37 </strong>(230mm), <strong>38</strong> (240mm), <strong>39</strong> (250mm), <strong>40</strong> (255mm), <strong>41</strong> (260mm), <strong>42</strong> (270mm), <strong>43</strong> (280mm), <strong>44</strong> (285mm), <strong>45</strong> (290mm), <strong>46</strong> (295mm).</p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;""> </p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;"">Opracowanie: firma <strong>Sharg®</strong></p>";112166;sharg
51110;27925511107;Ostrzałka Smith's 10-Second Knife & Scissors Sharpener (JIFF-S);Smith's Inc.;Artykuły dla dorosłych > Broń > Noże szturmowe;48;39.02;23;;;22;0.07;https://hurt.sharg.pl/hpeciai/6f7d304b85d5a77de5fa0facf321e057/112168_5.jpg|https://hurt.sharg.pl/hpeciai/887f714577e3305f9f246cc37fbffb86/112168_6.jpg|https://hurt.sharg.pl/hpeciai/54a17033930158b5c32ead2f2c4c5601/112168_7.jpg;JJFF-S, uniwersalna ostrzarka 10-Second Knife & Scissors Sharpener firmy Smith's. Łączy dwie powierzchnie do ostrzenia. Umożliwia łatwo naostrzyć każdy nóż o prostej, gładkiej krawędzi oraz sprawnie ostrzy nożyczki dla prawo i leworęcznych...;"<p style=""text-align: justify;""><strong>JJFF-S, </strong>uniwersalna, kompaktowa ostrzarka <strong>10-Second Knife &amp; Scissors Sharpener </strong>amerykańskiej firmy <strong>Smith's. </strong><span>Ostrzałka łączy </span><strong>dwie powierzchnie</strong><span><span> </span>do ostrzenia. Pozwala</span><span> </span>łatwo naostrzyć każdy nóż o prostej, gładkiej krawędzi oraz sprawnie ostrzy nożyczki dla prawo i leworęcznych. <strong>Bestseller!</strong></p> <p style=""text-align: justify;""><span>Wykonane z <strong>węglików spiekanych, </strong></span><span>skrzyżowane ostrza w kształcie <strong>""V""</strong> </span><span> o gradacji<span> </span></span><strong>Coarse </strong><span>i stałym kącie ostrzenia, umożliwiają szybkie ostrzenie krawędzi tnącej za pomocą zaledwie</span><strong><span> </span>3-4</strong><span><span> </span>posuwistych ruchów.</span></p> <p style=""text-align: justify;""><span>Wbudowana w rękojeść<strong> opatentowana ostrzałka do nożyc</strong> ze specjalnie zaprojektowanym<strong> „pływającym”</strong> okrągłym <strong>prętem ceramicznym</strong> <span>o gradacji</span><strong><span> Fine 1500. </span></strong></span><strong>Pływający pręt</strong> dokładnie dostosowuje się do kąta ostrzy nożyczek podczas ostrzenia i działa zarówno na nożyce lewo, jak i praworęczne. Wystarczy tylko <strong><span> </span>3-4</strong><span><span> </span>posuwiste ruchy przez ostrzałkę </span>dla uzyskania ostrych nożyczek. </p> <p style=""text-align: justify;""><span>Wygodna profilowana<span> </span><strong>rękojeść</strong> </span><span>z osłoną palców, zapewnia pewny chwyt </span><span>podczas ostrzenia. Obudowa w</span><span><span> <strong>szarym</strong><span><span> </span>kolorze </span></span></span><span>ułatwia szybkie odnalezienie osełki.</span></p> <p><strong>Sposób użycia:</strong> <br /><strong>Jak naostrzyć nóż.</strong><br />1. Oprzyj nóż na płaskiej powierzchni ostrzem do góry.<br />2. Pociągnij do siebie<strong> 3-4 krotnie</strong> ostrzałkę, lekko dociskając krawędź tnącą między ostrzami z <strong>węglików spiekanych.</strong><br />3. Zawsze czyść ostrzarkę po użyciu, przetrzyj wilgotną szmatką lub łagodną szczotką i osusz ręcznikiem. Nie należy spłukiwać wodą.</p> <p><strong>Jak ostrzyć nożyczki.</strong><br />1. Oprzyj ostrzarkę o płaską powierzchnię.<br />2. Zwróć uwagę na oznaczenia producenta <strong>Right Handed</strong> dla nożyczek prawo,<strong> Left Handed</strong> dla leworęcznych.<br />3. Wykonaj kilka ruchów (3-4) obiema krawędziami tnącymi nożyczek równocześnie o biały pływający<strong> ceramiczny pręt.</strong><br />4. <span>Zawsze czyść ostrzarkę po użyciu, przetrzyj wilgotną szmatką lub łagodną szczotką i osusz ręcznikiem. Nie należy spłukiwać wodą.</span></p> <p><strong>Dane techniczne:</strong><br />Numer produktu: 51110<br />Nazwa: 10 Second Knife and Scissors Sharpener<br />Rodzaj powierzchni ostrzącej: Carbide, Ceramic<br />Gradacja: Coarse, Extra Fine 1 500<br />Kolor: Grey<br />Waga: 50.0 g / 1.76 oz<br />Producent: Smith's, U.S.A.</p> <p>Opracowanie: firma <strong>Sharg®</strong></p>";112168;sharg
ES P66 BLACK;5905247661296;Pistolet wiatrówka Voltran Ekol ES P66 Black 4.5 mm;Ekol by Voltran;Hobby/Militaria i strzelectwo/Strzelectwo/Wiatrówki na Co2;278;226.02;23;;;8;;https://hurt.sharg.pl/hpeciai/eb098263514c1c65e38d138d99c3e91d/112178_1.jpg|https://hurt.sharg.pl/hpeciai/e500acb0fa55dc06ca894a2f42277c01/112178_2.jpg|https://hurt.sharg.pl/hpeciai/fab3c4de320bab30d76cd6ae2a5ef9cf/112178_3.jpg|https://hurt.sharg.pl/hpeciai/0ec04f31f6d68998b4b56b85f72d91a1/112178_5.jpg|https://hurt.sharg.pl/hpeciai/e8fc1e63aa47c28e27adb4a608d19afa/112178_6.jpg|https://hurt.sharg.pl/hpeciai/4f4b42d7796d614ca2a3dfc076ff9304/112178_7.jpg|https://hurt.sharg.pl/hpeciai/6585083cda8f952005c774105684200c/112178_8.jpg|https://hurt.sharg.pl/hpeciai/ce9c06980c9651531b9a15c936f25130/112178_4.jpg;Ekol ES P66 Czarny ultralekki, samopowtarzalny pistolet pneumatyczny którego konstrukcję oparto na broni sygnałowej. Dzięki tak silnym korzeniom, ta najmocniejsza wiatrówka 150 m/s nadaje się do dynamicznego strzelania sportowego, treningu taktycznego.;"<p style=""text-align: justify;""><strong>Ekol ES P66 Black</strong> ultralekki nowoczesny <span>samopowtarzalny </span>pistolet pneumatyczny, <span>oparty konstrukcyjnie </span>na broni sygnałowej<span> firmy <strong>Voltran</strong></span>. Oferuje realistyczny wygląd oraz solidną konstrukcję, zapewniającą trwałość i niezawodność. Zamek (slide), korpus (frame), kurek (hammer), dźwignia decockera (decocker lever) oraz drobne elementy pistoletu zostały wykonane z metalu. Dzięki tak silnym korzeniom, ta jedna z najmocniejszych <span>pistoletowych </span>wiatrówek o prędkości <strong>150 m/s</strong> nadaje się do <strong>dynamicznego strzelectwa sportowego</strong> jak i  <strong>treningu taktycznego.</strong></p> <p style=""text-align: justify;""><span><strong>Szkielet</strong> - wraz ze zintegrowaną akcesoryjną szyną <strong>Picatinny</strong> (MIL-STD 1913), w</span>ykonano z utwardzanego, <span>lekkiego polimeru w kolorze<strong> czarnym. </strong>Połączenie polimerowego szkieletu oraz w <strong>pełni metalowego</strong> zamka <strong>Full Metal, </strong></span>nadają niezwykle atrakcyjny wygląd, nie do odróżnienia od realnej broni. Pistolet wyposażono w sporej wielkości integralny kabłąk ułatwiający strzelanie oburącz. Ryflowane okładziny chwytu z<span> wytrzymałego tworzywa </span><strong>ABS</strong><span> w kolorze </span><strong>czarnym</strong> zapewniają stabilny, pewny uchwyt pistoletu.</p> <p style=""text-align: justify;""><strong>Przyrządy celownicze</strong> - polimerowe, stała muszka oraz regulowana szczerbinka. Naniesione plamki w białym kontrastującym kolorze ułatwiają celowanie w warunkach ograniczonej widoczności.</p> <p style=""text-align: justify;""><strong>Mechanizm spustowy</strong> - w pistolecie zastosowano mechanizm działający w trybie <strong>SA/DA</strong> (<strong>S</strong>ingle <strong>A</strong>ction / <strong>D</strong>ouble <strong>A</strong>ction). Umożliwia to oddanie strzału zarówno z samonapinaniem zewnętrznego kurka oraz strzał z kurkiem uprzednio napiętym.</p> <p style=""text-align: justify;""><span><strong>Magazynek</strong> - metalowy o pojemności <strong>14 stalowych kulek BBs</strong> w kal.<strong> 4.5 mm.</strong> Waga amunicji rozkłada się równomiernie na całej długości magazynka. Należy używać wyłącznie śrutu stalowego BB.</span></p> <p style=""text-align: justify;""><span><strong>Zasilanie</strong> - za pomocą <strong>12 gramowej</strong> kapsuły CO2 mieszczącej się w magazynku znajdującym się w rękojeści pistoletu. Jeden nabój CO2 wystarcza na oddanie około 50-60 efektywnych strzałów.</span></p> <p><span><strong>Zestaw zawiera:</strong> <br>- pistolet Ekol ES P66<br>- dwa dedykowane klucze imbusowe<br>- dodatkowa stopka magazynka <br>- walizka na pistolet<br>- instrukcja obsługi</span></p> <p><strong>Dane techniczne:</strong><br>Numer produktu: Ekol ES P66 Black<br>Rodzaj wiatrówki: <span>CO₂</span><br>Energia początkowa: poniżej 17 J<br><br>Kaliber: 4.5 mm<br>Rodzaj śrutu: 4BB<br>Prędkość wylotowa: 150 m/s (492 fps)</p> <p>Długość całkowita: 190.0 mm / 7.48""<br>Wysokość: 135.0 mm / 5.31""<br>Szerokość: 41.0 mm / 1.61""<br>Waga: 680.0 g / 1.50 lb</p> <p><span>Pojemność magazynka: 14 szt.</span><br>Zasilanie: 12 g kapsuła CO2<br>Akcesoria dodatkowe: Walizka transportowa, dwa klucze imbusowe</p> <p>Marka: Ekol<br>Producent: Voltran Av Silahları<br>Kraj pochodzenia: Turcja</p> <p>Opracowanie: firma <strong>Sharg®</strong></p>";112178;sharg
6305.07M;5905247660770;Pistolet wiatrówka Ekol ES P66, Magnes (6305.07M);Ekol by Voltran;Hobby/Militaria i strzelectwo/Strzelectwo/Wiatrówki i akcesoria;33;26.83;23;;;10;0.002;https://hurt.sharg.pl/hpeciai/2a199a9de809391022ee1c244a89c418/112190_1.jpg|https://hurt.sharg.pl/hpeciai/2a199a9de809391022ee1c244a89c418/112190_1_3.jpg;;;112190;sharg
6301.09MI;5905247660947;Pistolet wiatrówka Ekol ES P66, Prowadnica Sprężyny Magazynka (6301.09MI);Ekol by Voltran;Hobby/Militaria i strzelectwo/Strzelectwo/Wiatrówki i akcesoria;33;26.83;23;;;21;0.004;https://hurt.sharg.pl/hpeciai/b189da065cffa74bd38cc2a3024d463e/112192_1.jpg|https://hurt.sharg.pl/hpeciai/b189da065cffa74bd38cc2a3024d463e/112192_1_3.jpg|https://hurt.sharg.pl/hpeciai/97451f95ed8c36edc749c0cf011018a0/112192_2.jpg|https://hurt.sharg.pl/hpeciai/97451f95ed8c36edc749c0cf011018a0/112192_2_3.jpg;;;112192;sharg
