SKU;EAN;Nazwa;Marka;Kategoria;Cena_brutto_PLN;Cena_netto_PLN;VAT_procent;Cena_poprzednia;Cena_zakupu;Stan;Waga_kg;Zdjecia_URL;Krotki_opis;Opis_HTML;ID_dostawcy;Zrodlo
1084;8447205000114;Nóż składany Martinez Albainox Red Micarta, Shiny Stainless (01084);Martinez Albainox;Hobby/Militaria i strzelectwo/Noże i akcesoria;50;40.65;23;;;2;0.089;https://hurt.sharg.pl/hpeciai/132b6ff6aa0f9184a6e2a6ba07145174/124564_2.webp|https://hurt.sharg.pl/hpeciai/cade9aab53ae6ba598abb654c8b86d9f/124564_8.webp;;;124564;sharg
18462;8447205037431;Nóż składany Martinez Albainox Skull 3D Aluminium, 3D Printed 3Cr13MoV (18462);Martinez Albainox;*Kategoria tymczasowa;53;43.09;23;;;3;0.166;https://hurt.sharg.pl/hpeciai/3798649f51991bed7db5b872e45e89a1/124565_4.jpg|https://hurt.sharg.pl/hpeciai/afef9126769e05252bc9dda1b5ec9b31/124565_3.jpg;;;124565;sharg
EM19 LS LH;5905247685711;Kabura Fobus Beretta, H&K, Ruger Lewa (EM19 LS LH);Fobus;*Kategoria tymczasowa;158;128.46;23;;;1;0.199;https://hurt.sharg.pl/hpeciai/fa1cb7dd016612edaf69e34ccecc36b8/124570_1.webp|https://hurt.sharg.pl/hpeciai/d5672244f9c8f472afd6fdaf52a761c2/124570_4.webp|https://hurt.sharg.pl/hpeciai/79dc7063c5bd326240fab5e5e671d7c7/124570_3.webp|https://hurt.sharg.pl/hpeciai/9e4a11a1db2e72d5ffc4d87f289f6f5d/124570_5.webp|https://hurt.sharg.pl/hpeciai/a3695e20300450d6798403247d937477/124570_2.webp;;;124570;sharg
EM19 LS;5905247685728;Kabura Fobus Beretta, H&K, Ruger (EM19 LS);Fobus;*Kategoria tymczasowa;158;128.46;23;;;0;0.192;https://hurt.sharg.pl/hpeciai/4314206e077b67ea26f474218fc834d0/124571_1.webp|https://hurt.sharg.pl/hpeciai/47e32889bbfcb204c85b26a3cf310b10/124571_2.webp|https://hurt.sharg.pl/hpeciai/8a349f287068831e63405dd2951d1a21/124571_3.webp|https://hurt.sharg.pl/hpeciai/c2f10d01958937dc38c1bbe563639cfd/124571_4.webp|https://hurt.sharg.pl/hpeciai/ae950b5fe79115169cc641ddf8d24488/124571_5.webp|https://hurt.sharg.pl/hpeciai/0f8496d8adf18575d1fd5ed7de9b3bb8/124571_6.webp;;;124571;sharg
EM17 LS RT;5905247685735;Kabura Fobus Beretta, H&K, Sig/Sauer, Taurus Rotacyjna (EM17 LS RT);Fobus;*Kategoria tymczasowa;158;128.46;23;;;2;0.217;https://hurt.sharg.pl/hpeciai/eae273e74ab16e5796136e695c737f24/124572_1.webp|https://hurt.sharg.pl/hpeciai/619a8566d48fd36c449a1f51d7fd1a8d/124572_4.webp|https://hurt.sharg.pl/hpeciai/0f8496d8adf18575d1fd5ed7de9b3bb8/124572_6.webp;;;124572;sharg
30594-NE;8447205077383;Rękawiczki Barbaric Velcro/Anti-Slip Adjustment Black Polyester (30594-NE);Barbaric by Martinez Albainox;*Kategoria tymczasowa;26;21.14;23;;;3;0.05;https://hurt.sharg.pl/hpeciai/aa095cb977569857c3f6fdd64538974b/124573_1.png;;"<p>Taktyczne <strong>rękawice BARBARIC</strong> w kolorze czarnym to uniwersalny element wyposażenia przeznaczony do ochrony dłoni oraz poprawy kontroli chwytu podczas aktywności outdoorowych, treningów i codziennego użytkowania.</p>  <p><strong>Materiał i komfort</strong> – Rękawice wykonane zostały z lekkiego i wytrzymałego <strong>poliestru</strong>, który zapewnia odpowiednią oddychalność oraz wygodę noszenia. Elastyczna konstrukcja dobrze dopasowuje się do dłoni i nie ogranicza swobody ruchów.</p>  <p><strong>Funkcjonalność</strong> – Zastosowana <strong>antypoślizgowa powierzchnia</strong> poprawia pewność chwytu i kontrolę nad sprzętem. Regulacja na <strong>rzep (Velcro)</strong> umożliwia szybkie i stabilne dopasowanie rękawic do nadgarstka.</p>  <p><strong>Zastosowanie</strong> – Uniwersalny rozmiar <strong>one size</strong> oraz klasyczna czarna kolorystyka sprawiają, że rękawice doskonale sprawdzą się w zastosowaniach taktycznych, outdoorowych, survivalowych oraz podczas aktywności typu airsoft.</p>  <ul>   <li>taktyczne rękawice ochronne</li>   <li>antypoślizgowa powierzchnia chwytna</li>   <li>regulacja na rzep Velcro</li>   <li>lekka i wygodna konstrukcja</li> </ul>  <p><strong>Dane techniczne:</strong><br /> Numer produktu: 30594-NE<br /> Nazwa: Gloves BARBARIC black<br /> Rodzaj produktu: rękawice taktyczne<br /> Marka: BARBARIC<br /> Rozmiar: one size<br /> Materiał: poliester<br /> Kolor: czarny<br /> Waga: 59.0 g / 2.08 oz<br /> Regulacja: rzep Velcro<br /> Właściwości: antypoślizgowe<br /> Opakowanie: woreczek foliowy</p>  <p>Opracowanie: firma <strong>Sharg&reg;</strong></p>";124573;sharg
EM17 LS LH;5905247685742;Kabura Fobus Beretta, H&K, Sig/Sauer, Taurus Lewa (EM17 LS LH);Fobus;*Kategoria tymczasowa;158;128.46;23;;;1;0.193;https://hurt.sharg.pl/hpeciai/1907944b5f5ecdcd30e25d3531170762/124574_1.webp|https://hurt.sharg.pl/hpeciai/70171b3a9498590499e666dd71e8cb3f/124574_2.webp|https://hurt.sharg.pl/hpeciai/7ae5c46a9346cb19f277ad5bf6916dce/124574_5.webp|https://hurt.sharg.pl/hpeciai/5157f2728ddb2473ac7a9918c3cb6648/124574_3.webp|https://hurt.sharg.pl/hpeciai/d476865bcd01e6fbd5e24ef9b9da122f/124574_4.webp;;;124574;sharg
30594-CO;8447205077376;Rękawiczki Barbaric Velcro/Anti-Slip Adjustment Coyote Polyester (30594-CO);Barbaric by Martinez Albainox;*Kategoria tymczasowa;26;21.14;23;;;5;0.05;https://hurt.sharg.pl/hpeciai/81a175301751aec5df762c4ad6ad1b7d/124575_1.png;;"<p>Taktyczne <strong>rękawice BARBARIC</strong> w kolorze <strong>Coyote</strong> to praktyczny element wyposażenia outdoorowego i militarnego, zaprojektowany z myślą o ochronie dłoni oraz pewnym chwycie w trakcie różnych aktywności terenowych i treningowych.</p>  <p><strong>Materiał i komfort</strong> – Rękawice wykonano z lekkiego i wytrzymałego <strong>poliestru</strong>, który zapewnia dobrą oddychalność oraz komfort noszenia. Elastyczna konstrukcja umożliwia swobodne dopasowanie do dłoni i nie ogranicza precyzji ruchów.</p>  <p><strong>Funkcjonalność</strong> – Zastosowana <strong>antypoślizgowa powierzchnia</strong> poprawia kontrolę i stabilność chwytu, co jest szczególnie istotne podczas pracy ze sprzętem. Regulacja za pomocą <strong>rzepu (Velcro)</strong> pozwala na szybkie i pewne dopasowanie rękawic do nadgarstka.</p>  <p><strong>Zastosowanie</strong> – Uniwersalny rozmiar <strong>one size</strong> oraz taktyczna kolorystyka sprawiają, że rękawice doskonale sprawdzą się w zastosowaniach outdoorowych, strzeleckich, survivalowych oraz podczas aktywności typu airsoft.</p>  <ul>   <li>taktyczne rękawice ochronne</li>   <li>antypoślizgowa powierzchnia chwytna</li>   <li>regulacja na rzep Velcro</li>   <li>lekka i wygodna konstrukcja</li> </ul>  <p><strong>Dane techniczne:</strong><br /> Numer produktu: 30594-CO<br /> Nazwa: Barbaric gloves<br /> Rodzaj produktu: rękawice taktyczne<br /> Marka: BARBARIC<br /> Rozmiar: one size<br /> Materiał: poliester<br /> Kolor: Coyote<br /> Waga: 59.0 g / 2.08 oz<br /> Regulacja: rzep Velcro<br /> Właściwości: antypoślizgowe<br /> Opakowanie: woreczek foliowy</p>  <p>Opracowanie: firma <strong>Sharg&reg;</strong></p>";124575;sharg
EM17 LS;5905247685759;Kabura Fobus Beretta, H&K, Sig/Sauer, Taurus (EM17 LS);Fobus;*Kategoria tymczasowa;158;128.46;23;;;0;0.19;https://hurt.sharg.pl/hpeciai/a8f2020b5c056ed2030de5420093da7f/124576_1.webp|https://hurt.sharg.pl/hpeciai/9e6f387c795d1bdf2b3bd500c128da52/124576_4.webp|https://hurt.sharg.pl/hpeciai/b2a7edd60a8168dd9def240cd0af8cb4/124576_3.webp|https://hurt.sharg.pl/hpeciai/3879234eb7bd55c0495640b83fa7e45e/124576_5.webp|https://hurt.sharg.pl/hpeciai/7f5ec3dc972e7dbd6c9937c7a4279f3c/124576_2.webp|https://hurt.sharg.pl/hpeciai/0f8496d8adf18575d1fd5ed7de9b3bb8/124576_6.webp;;;124576;sharg
C-21 BH ND;5905247685766;Kabura OWB Fobus C-21 BH ND do Browning, Colt, FN, Kimber, Sarilmaz, Remington, S&W, Sig/Sauer;Fobus;*Kategoria tymczasowa;128;104.07;23;;;0;0.134;https://hurt.sharg.pl/hpeciai/23624c0b1fb10ca8844ba4640d141723/124577_1.webp|https://hurt.sharg.pl/hpeciai/66f3d8a2abe5e28818f0e2fdfd27457f/124577_3.webp;"C-21 BH ND kabura Fobus standard prawa do Colt: .45 Gov/1911 bez szyny. Browning Hi-Power Mark III 4 & 5mm. FN: High Power, HN Forty-Nine. Kahr: P9, T9, K9, TP9, T40, K40, MK40. Kimber: 1911 Style, 4""&5"" bez szyny...";"<p style=""margin: 0pt; text-align: justify;""><span>Kabura otwarta <strong>Fobus</strong><strong>,</strong> typ<strong> Standard.</strong> Do pistoletów <strong>Colt:</strong> .45 Gov/1911 (bez szyny montażowej). <strong>Browning: </strong>Hi-Power Mark III 4 &amp; 5mm. <strong>FN: </strong>High Power, HN Forty-Nine. <strong>Kahr: </strong>P9, T9, K9, TP9, T40, K40, MK40. <strong>Kimber: </strong>1911 Style, 4&amp;5 inch (bez szyny montażowej). <strong>Sasilmaz:</strong> Klinic 2000 Light. <strong>Smith &amp; Wesson:</strong> 945. </span><strong>RX18 Polymer </strong>wykonana metodą wtryskową z <span>odpornego na zarysowania, udar oraz ekstremalne temperatury </span><span>tworzywa sztucznego o dużej gęstości.</span></p> <p style=""margin: 0pt; text-align: justify;""> </p> <p style=""margin: 0pt; text-align: justify;""><span><strong>Rodzaj kabury</strong> - <strong>Standard</strong> (model bazowy). Lekka prosta konstrukcja mająca wpływ na niewielką wagę. Niski profil ułatwia ukrycie broni, zwiększając komfort jej przenoszenia. Kabura dobrze zabezpiecza broń przed uszkodzeniem, nie ma tendencji do przemieszczania się. Dostępna w wersji dla <strong>prawo</strong> i <strong>leworęcznych (LH).</strong></span></p> <p style=""text-align: justify;""><strong>Rodzaj mocowania: </strong><strong>BH</strong><span> (Belt Holder) – </span><span>mocowanie </span><strong>wsuwane na pas</strong><span> </span><span>o szerokości </span><strong>30-40 mm.</strong><span> Bez możliwości regulacji kąta nachylenia kabury.</span><span></span></p> <p style=""margin: 0pt;""><span><strong>Dane techniczne:</strong><br>Numer grupy produktów: C-21 BH ND<br>Do pistoletu: Colt, Browning, FN, Kahr, Kimber, Sasilmaz, S&amp;W</span></p> <p style=""margin: 0pt;""><span>Rodzaj kabury: Otwarta<br>Typ kabury: Standard<br>Tworzywo: RX18 polimer<br>Kolor: Black matt<br>Producent: Fobus International Ltd., Izrael</span></p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;""> </p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;"">Opracowanie: firma <strong>Sharg®</strong></p>";124577;sharg
30583;8447205077178;Komin Barbaric Fine Skull Black Tkanina (30583);Barbaric by Martinez Albainox;*Kategoria tymczasowa;8;6.5;23;;;1;0.05;https://hurt.sharg.pl/hpeciai/6535368097e1815b4bdfb093a4981396/124578_1.png;;"<p>Wielofunkcyjny <strong>komin BARBARIC Skull</strong> to praktyczny dodatek outdoorowy i taktyczny, który sprawdzi się podczas aktywności na świeżym powietrzu, treningów oraz codziennego użytkowania. Charakterystyczny motyw czaszki nadaje mu wyrazisty, militarny styl.</p>  <p><strong>Materiał i komfort</strong> – Komin wykonany został z lekkiej i elastycznej <strong>tkaniny</strong>, która dobrze dopasowuje się do kształtu głowy i szyi. Materiał zapewnia komfort noszenia oraz podstawową ochronę przed wiatrem i chłodem.</p>  <p><strong>Funkcjonalność</strong> – Dzięki konstrukcji <strong>one size</strong> komin może być noszony na wiele sposobów: jako osłona szyi, maska na twarz, opaska, czapka lub bandana. To uniwersalne rozwiązanie do zastosowań outdoorowych, sportowych i miejskich.</p>  <p><strong>Design</strong> – Czarne wykończenie z motywem <strong>Skull</strong> podkreśla taktyczny charakter produktu i dobrze komponuje się z odzieżą militarną oraz sportową.</p>  <ul>   <li>wielofunkcyjny komin / chusta typu neck tube</li>   <li>lekki i elastyczny materiał</li>   <li>uniwersalny rozmiar one size</li>   <li>motyw czaszki w taktycznym stylu</li> </ul>  <p><strong>Dane techniczne:</strong><br /> Numer produktu: 30583<br /> Nazwa: Neck tube BARBARIC Skull<br /> Rodzaj produktu: komin / chusta wielofunkcyjna<br /> Marka: BARBARIC<br /> Rozmiar: one size<br /> Materiał: tkanina<br /> Kolor: czarny<br /> Waga: 38.0 g / 1.34 oz<br /> Opakowanie: indywidualne</p>  <p>Opracowanie: firma <strong>Sharg&reg;</strong></p>";124578;sharg
30566;8447205076966;Kominiarka Barbaric Skull Black Polyester (30566);Barbaric by Martinez Albainox;*Kategoria tymczasowa;12;9.76;23;;;5;0.05;https://hurt.sharg.pl/hpeciai/01aee81e236887ac431ee716c4a9f8d9/124579_1.png;;;124579;sharg
25104;8447205164472;Nóż składany Martinez Albainox Black Steel, Satin 3Cr13Mov (25104);Martinez Albainox;Hobby/Militaria i strzelectwo/Noże i akcesoria;15;12.2;23;;;5;0.032;https://hurt.sharg.pl/hpeciai/ceff64b95eaf3f0b34f571cb8d605270/124580_2.webp|https://hurt.sharg.pl/hpeciai/269e6d7a18fa2ecb91754af9480e881b/124580_8.webp;;"<p>Ultrakompaktowy <strong>nóż kieszonkowy ALBAINOX</strong> to minimalistyczny model EDC zaprojektowany z myślą o maksymalnej poręczności. Niewielkie wymiary, stalowa konstrukcja i niska waga sprawiają, że idealnie sprawdzi się jako dyskretny nóż do codziennych, lekkich zadań.</p>  <p><strong>Ostrze</strong> – Głownia o długości <strong>4,3 cm</strong> (43.0 mm / 1.69"") została wykonana ze stali <strong>3Cr13Mov</strong>, zapewniającej dobrą odporność na korozję oraz łatwość ostrzenia. Nietypowy profil ostrza typu <strong>axe</strong> nadaje nożowi oryginalny wygląd i pozwala na precyzyjne cięcie w podstawowych zastosowaniach.</p>  <p><strong>Wykończenie</strong> – Satynowe wykończenie <strong>Satin</strong> podkreśla prosty, użytkowy charakter ostrza i dobrze komponuje się z czarną, stalową rękojeścią.</p>  <p><strong>Rękojeść</strong> – Wykonana ze <strong>stali</strong> w czarnym kolorze rękojeść zapewnia trwałość oraz odporność na codzienne użytkowanie. Prosta konstrukcja bez zbędnych dodatków idealnie wpisuje się w minimalistyczny charakter noża.</p>  <p><strong>Konstrukcja</strong> – Model nie posiada blokady ostrza, klipsa ani wspomagania otwierania, co czyni go lekkim i bardzo prostym w obsłudze. To praktyczny wybór dla osób szukających niewielkiego noża zapasowego lub breloka EDC.</p>  <ul>   <li>bardzo mały i lekki nóż kieszonkowy EDC</li>   <li>ostrze ze stali 3Cr13Mov o profilu axe</li>   <li>stalowa rękojeść w czarnym kolorze</li>   <li>minimalistyczna konstrukcja bez blokady</li> </ul>  <p><strong>Dane techniczne:</strong><br /> Numer produktu: 25104<br /> Rodzaj produktu: nóż kieszonkowy<br /> Marka: ALBAINOX<br /> Długość ostrza: 43.0 mm / 1.69"" (4,3 cm)<br /> Długość rękojeści: 55.0 mm / 2.17"" (5,5 cm)<br /> Długość całkowita: 98.0 mm / 3.86"" (9,8 cm)<br /> Grubość ostrza: 1.4 mm / 0.06""<br /> Rodzaj stali: 3Cr13Mov<br /> Typ ostrza: gładkie, profil axe<br /> Wykończenie ostrza: Satin<br /> Blokada: brak<br /> Rękojeść: stal / czarna<br /> Klips: nie<br /> Waga: 28.0 g / 0.99 oz<br /> Opakowanie: kolorowe pudełko<br /> Nowość: tak<br /> Możliwość personalizacji: tak</p>  <p>Opracowanie: firma <strong>Sharg&reg;</strong></p>";124580;sharg
