SKU;EAN;Nazwa;Marka;Kategoria;Cena_brutto_PLN;Cena_netto_PLN;VAT_procent;Cena_poprzednia;Cena_zakupu;Stan;Waga_kg;Zdjecia_URL;Krotki_opis;Opis_HTML;ID_dostawcy;Zrodlo
PART 402;5905247613042;Sprężyna magazynka strzelba Hatsan Escort 12GA (402);Hatsan Arms;Hobby/Militaria i strzelectwo/Strzelectwo/Akcesoria do broni palnej/Pozostałe akcesoria do broni palnej;48;39.02;23;;;29;0.03;https://hurt.sharg.pl/hpeciai/d4bba607500293c89a264b6ee9c442c9/111138_1.jpg;402 - (serwis) sprężyna magazynka rurowego (magazine spring) firmy Hatsan Arms do strzelb gładkolufowych marki Escort w kal. 12/76...;"<p style=""text-align: justify;""><strong>402 - </strong>(serwis) sprężyna magazynka rurowego (magazine spring) firmy <strong>Hatsan Arms </strong>do strzelb gładkolufowych marki <strong>Escort </strong>w kal. <strong>12/76.</strong></p> <p style=""text-align: left;""><strong>Dane techniczne:</strong><br />Numer produktu: 402<br />Nazwa części: Magazine Spring for Hatsan Escort 12GA<br />Numer produktu na schematach: 402<br />Waga: 20 g / 0.71 oz<br />Producent: Hatsan Arms Company, Turcja</p> <p>Opracowanie firma <strong>Sharg®</strong> wyłączny importer firmy <strong>Hatsan.</strong></p>";111138;sharg
PART 476;5905247603036;Tłok 182x26mm, uszczelka 27mm do Hatsan MOD 135, Torpedo 150, Torpedo 155 (476);Hatsan Arms;Hobby/Militaria i strzelectwo/Strzelectwo/Wiatrówki i akcesoria;75;60.98;23;52.5;;0;;https://hurt.sharg.pl/hpeciai/0a7603bf8af4525cd64b29bf00146408/111144_2.jpg|https://hurt.sharg.pl/hpeciai/63d7b4c97e79b25f701929e743c6cd3a/111144_3.jpg|https://hurt.sharg.pl/hpeciai/bd06d5f139fbd27ab7039723cf867cc9/111144_1.jpg|https://hurt.sharg.pl/hpeciai/aa0d8b31c36838b9c6c1fd69f37f0cd5/111144_4.jpg|https://hurt.sharg.pl/hpeciai/e7592ccf56337669128cc5e5a1f963ac/111144_5.jpg|https://hurt.sharg.pl/hpeciai/b22346f15750b93247bd7e295c62e8bd/111144_6.jpg|https://hurt.sharg.pl/hpeciai/394ed1172a6e4b45c776c721f6c10f50/111144_7.jpg|https://hurt.sharg.pl/hpeciai/832092c1d61ec73f3b87d1ff37a577fe/111144_8.jpg|https://hurt.sharg.pl/hpeciai/83ee826fda1b6b96bc15564f3cb6143d/111144_9.jpg|https://hurt.sharg.pl/hpeciai/567da2d535d6a189299515db7e1d267c/111144_10.jpg|https://hurt.sharg.pl/hpeciai/a6cc7db53cf6cdbe23f3aede4d8c44dc/111144_11.jpg;476 - (serwis) tłok 182mm x 26mm z uszczelką tłoka 27mm do wiatrówek sprężynowych łamanych Hatsan. Do karabinów tłokowych ze sprężyną główną metalową lub gazową VORTEX. MOD 135, Torpedo 150 oraz Torpedo 155...;"<p style=""text-align: justify;""><strong>476</strong> - (serwis) <strong>tłok</strong> 182 mm x 26 mm <strong>z uszczelką tłoka</strong> 27 mm do wiatrówek sprężynowych (tłokowych) łamanych firmy <strong>Hatsan Arms.</strong> Przeznaczony do karabinów<strong> tłokowych</strong> ze sprężyną główną <strong>metalową</strong> lub sprężyną <strong>gazową VORTEX</strong>. Pasuje m.in. do <strong>MOD 135, MOD 135 QE, MOD 135 QE Sniper, MOD 135 SP, MOD 135 XRD, Carnivore 135, Torpedo 150, Torpedo 150 TH </strong>oraz<strong> Torpedo 155.</strong> </p> <p style=""text-align: justify;"">Do wiatrówek pneumatycznych w kalibrach:<strong> .177</strong> (4.5 mm), <strong>.22</strong> (5.5 mm), <strong>.25</strong> (6.35 mm), <strong>.30</strong> (7.62 mm).</p> <p>Opracowanie: firma <strong>Sharg®</strong> wyłączny importer firmy <strong>Hatsan.</strong></p>";111144;sharg
PART 45 (K31);5905247603180;O-Ring 2.5*1.5 do pompki PCP Hatsan Hand Pump (45);Hatsan Arms;Hobby/Militaria i strzelectwo/Strzelectwo/Wiatrówki i akcesoria;15;12.2;23;10.5;;36;0.001;https://hurt.sharg.pl/hpeciai/8c0fb342e240ee0556dab2443a9f9957/111146_1.jpg;45 - (serwis) o-ring 2,5 x 1,5 do pompki HATSAN HAND PUMP przeznaczonej do napełniania powietrzem kartuszy wiatrówek pneumatycznych PCP (Pre-Charged Pneumatic). Pompka wyposażona w odpowietrznik oraz w cząsteczkowy filtr powietrza...;"<p style=""text-align: justify;""><strong>45</strong> - (serwis) o-ring 2,5x1,5 do pompki <strong>HATSAN HAND PUMP</strong> przeznaczonej do napełniania powietrzem kartuszy wiatrówek pneumatycznych <strong>PCP</strong> (<strong>P</strong>re-<strong>C</strong>harged <strong>P</strong>neumatic). Pompka wyposażona w odpowietrznik oraz w cząsteczkowy filtr powietrza.</p> <p style=""text-align: justify;"">Rekomendowana m.in. do modeli Hatsan serii: AT-P, AT44, AT-44 LONG, BT65, BT65-ELITE, BT65 Carnivore, BT65-ELITE Carnivore, GALATIAN, GALATIAN-CARBINE, Flash oraz GLADIUS (bullpup).</p> <p>Opracowanie: firma <strong>Sharg®</strong> wyłączny importer firmy<strong> Hatsan</strong></p>";111146;sharg
PART 47 (K31);5905247603104;Pierścień tłokowy do pompki PCP Hatsan Hand Pump (47);Hatsan Arms;Hobby/Militaria i strzelectwo/Strzelectwo/Wiatrówki i akcesoria;18;14.63;23;12.6;;50;0.005;https://hurt.sharg.pl/hpeciai/cde88ac09f5298fd6f28ad868ebf3753/111147_2.jpg;47 - (serwis) pierścień tłokowy do pompki HATSAN HAND PUMP przeznaczonej do napełniania sprężonym powietrzem kartuszy wiatrówek pneumatycznych PCP (Pre-Charged Pneumatic). Pompka z odpowietrznikiem oraz z cząsteczkowym filtrem powietrza...;"<p style=""text-align: justify;""><strong>47</strong> - (serwis) pierścień tłokowy do pompki <strong>HATSAN HAND PUMP</strong> przeznaczonej do napełniania sprężonym powietrzem kartuszy wiatrówek pneumatycznych <strong>PCP</strong> (<strong>P</strong>re-<strong>C</strong>harged <strong>P</strong>neumatic). Pompka z odpowietrznikiem oraz z cząsteczkowym filtrem powietrza.</p> <p>Rekomendowana m.in. do modeli Hatsan serii: AT-P, AT44, AT-44 LONG, BT65, BT65-ELITE, BT65 Carnivore, BT65-ELITE Carnivore, GALATIAN, GALATIAN-CARBINE, Flash oraz GLADIUS (bullpup).</p> <p>Opracowanie: firma <strong>Sharg®</strong> wyłączny importer firmy<strong> Hatsan</strong></p>";111147;sharg
SpeedFire .177;5905247610652;Wiatrówka Hatsan SpeedFire 4.5 mm;Hatsan Arms;Sprzęt sportowy > Rekreacja na świeżym powietrzu > Myślistwo i strzelectwo;768;624.39;23;;;11;;https://hurt.sharg.pl/hpeciai/a001c763bb5c79cbdeed2d1bc861d8b2/111150_1.jpg|https://hurt.sharg.pl/hpeciai/a630173150aeebd766b7416f3099affc/111150_2.jpg|https://hurt.sharg.pl/hpeciai/b1abe8dc67bb7b86af91a8d582f2aa80/111150_3.jpg|https://hurt.sharg.pl/hpeciai/2ac7f30edda098f2d17624749b04f821/111150_4.jpg|https://hurt.sharg.pl/hpeciai/e7be3c4091be3131bc3b603facc2328c/111150_7.jpg|https://hurt.sharg.pl/hpeciai/cb5d6b69a7961decb9442daf9ba0ebd9/111150_5.jpg|https://hurt.sharg.pl/hpeciai/78bbbb384d7311aa6c4918cb6a860204/111150_6.jpg;SpeedFire nowoczesna wiatrówka tłokowa Hatsan. Wyposażona w regulowany mechanizm spustowy Quattro Trigger, system absorbcji wstrząsów SaS™, sprężynę gazową Vortex, światłowodowe przyrządy celownicze, wielonabojowe magazynki RPM. Dostępna kal. 4.5mm, 5.5mm;"<p style=""text-align: justify;""><strong>SpeedFire</strong> zaawansowana technologicznie, nowoczesna wiatrówka tłokowa <span>firmy </span><strong>Hatsan Arms </strong>z <strong>wielonabojowym magazynkiem</strong> i  <strong><strong>zintegrowanym tłumikiem. </strong></strong>Wyposażona w <span>2-stopniowy w pełni </span>regulowany mechanizm spustowy <strong>Quattro Trigger,</strong> system absorbcji wstrząsów <strong>SaS™,</strong> gazową sprężynę główną <strong>Vortex,</strong> <span>światłowodowe przyrządy celownicze </span><strong>Tru-Glo </strong>oraz wielonabojowe magazynki <strong>RPM.</strong><span> </span><span>Idealny wybór dla osób poszukujących </span><span>doskonale wyposażonej wiatrówki </span><span>w przystępnej cenie.<span> </span></span>Dostępna w kalibrach: <strong>.177</strong> (4.5 mm), <strong>.22</strong> (5.5 mm). <strong>Bestseller!</strong></p> <p style=""text-align: justify;""><strong>Magazynki - RPM</strong> (<strong>R</strong>apid <strong>P</strong>erformance <strong>M</strong>ag) wielonabojowe, przeznaczone<span> </span>do wybranych <span>tłokowych </span>wiatrówek <strong>Hatsan. </strong>W zależności od kalibru oferowane są<strong> 12 nabojowe</strong> w kal. <strong>4.5 mm</strong> oraz <span><strong>10 nabojowe</strong> w kal. </span><strong>5.5 mm. </strong>W zestawie dwa magazynki typu <strong>RPM.</strong></p> <h2 style=""text-align: justify;"">Charakterystyka karabinka pneumatycznego Hatsan SpeedFire</h2> <p style=""text-align: justify;""><strong>Lufa</strong><span><span> </span>- stalowa marki<span> </span></span><strong>Hatsan Arms.</strong><span><span> </span></span><span>Precyzyjna gwintowana </span><span>o długości <strong>14.0""</strong> (360 mm), pokryta polimerową osłoną zakończoną </span><strong>integralnym tłumikiem dźwięku,</strong><span><span> </span>bez systemu<span> </span></span><strong>Hatsan QE</strong><span><span> </span>(</span><strong>Q</strong><span>uiet</span><strong>E</strong><span>nergy). Zastosowane rozwiązanie pozwala zachować nominalną moc wiatrówki. Opcjonalny tłumik może powodować potrzebę kalibracji przyrządów optycznych, ponieważ przy dokręcaniu, mogą zmieniać się parametry balistyczne pocisku. Konstruktorzy firmy Hatsan zadbali o rozwiązanie tego problemu, a dodatkowo poprawiło ono wyważenie wiatrówki. Zakończenie lufy<span> </span></span><strong>muzzle break</strong><span> ułatwia naciąg wiatrówki.</span></p> <p style=""text-align: justify;""><strong>Osada</strong><span><span> </span>- ergonomiczna z otworem na kciuk<span> </span></span><strong>TH</strong><span><span> </span>(</span><strong>t</strong><span>humb</span><strong>h</strong><span>ole) wykonana z wytrzymałego polimeru w kolorze <strong>czarnym</strong><span>.<span> </span></span></span><span>Gumowe wstawki na<span> </span></span><strong>chwycie pistoletowy</strong><span><strong>m</strong> oraz na<span> </span></span><strong>części łoża</strong><span><span> </span>zapewniają pewny uchwyt. </span>Osada osłania kostkę lufy, przyczyniając się to do przesunięcia środka ciężkości do przodu, co skutkuje lepszym wyważeniem wiatrówki. <span>Wyprofilowana poduszka policzkowa <span>ułatwia złożenie się do strzału jak i celowanie. Kolbę zakończono <strong>wentylowaną gumową stopką,</strong> która</span></span> absorbującą energię odrzutu po oddanym strzale.</p> <p style=""text-align: justify;""><strong>Szyna montażowa</strong><span><span> </span>- karabin </span><span>wyposażono w podwójną szynę montażową<span> </span><strong>picatinny 11</strong><span> </span>i<strong><span> </span>22 mm,</strong><span> </span>dzięki której można zamontować dowolny celownik optyczny. </span><span>Dodatkowo szyna posiada stoper absorbujący odrzut po oddanym strzale zapobiegający przemieszczaniu się celownika optycznego wzdłuż szyny oraz jego rozkalibrowaniu.</span></p> <h2 style=""text-align: justify;"">Systemy bezpieczeństwa wiatrówki Hatsan SpeedFire</h2> <p style=""text-align: justify;""><span>Wiatrówkę </span>wyposażono w szereg rozwiązań poprawiających komfort oraz bezpieczeństwo użytkowania. <span>Zastosowanie prostych i trwałych rozwiązań w karabinach </span><strong>Hatsan</strong><span><span> </span>decyduje o tym, że są to produkty wysoce bezawaryjne, pozwalające się cieszyć długim użytkowaniem. To właśnie trwałość jest tym, z czego słyną wiatrówki marki<span> </span></span><strong>Hatsan.</strong></p> <ul style=""text-align: justify;""> <li><strong>Vortex Gas Piston® </strong><span>sprężyna gazowa przeznaczona do napędu wiatrówek sprężynowych </span><span>odpowiada za płynną pracę, zredukowany odrzut oraz lepszą celność. </span><span>Technologia sprężyny gazowej </span><strong>Vortex</strong><span> wykorzystuje do napędu tłoka gazowego sprężony azot. </span><span>Sprężyny gazowe gwarantują cichszą, ograniczenie wibracji, oraz powtarzalność każdego strzału oraz wysoką kulturę pracy, poprawiają celność na dużych odległościach. Zachowują identyczne parametry techniczne przez cały okres użytkowania, zwiększając tym samym żywotność układu pneumatycznego w stosunku do standardowej układu tłokowo-sprężynowego.</span></li> </ul> <ul style=""text-align: justify;""> <li style=""text-align: justify;""><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;""><strong>Quattro Trigger</strong></span><span> legendarny </span><span style=""font-family: Tahoma; font-size: 9pt;"">2-stopniowy w pełni regulowany mechanizm spustowy. Umożliwia regulację</span><span style=""font-family: Tahoma; font-size: 9pt;""> długości </span><span style=""font-family: Tahoma; font-size: 9pt;"">pierwszej drogi</span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;""><span> </span>(jałowej) </span><span style=""font-family: Tahoma; font-size: 9pt;"">oraz</span><span style=""font-family: Tahoma; font-size: 9pt;""> drugiej drogi </span><span style=""font-family: Tahoma; font-size: 9pt;"">języka spustowego</span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;""> (Trigger Load)</span><span style=""font-family: Tahoma; font-size: 9pt;""> oraz</span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;""> </span><span style=""font-family: Tahoma; font-size: 9pt;"">regulację</span><span style=""font-family: Tahoma; font-size: 9pt;""> </span><span style=""font-family: Tahoma; font-size: 9pt;"">twardości</span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;""><strong> </strong><span> </span>(czułości / oporu)<span> </span></span><span style=""font-family: Tahoma; font-size: 9pt;"">języka spustu</span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;""><span> </span>(Trigger Pull). </span>Proces dostosowania charakterystyki spustu zgodnie z własnymi preferencjami, jak i stylem strzelania  w celu zapewnienia jak najlepszej celności, jest szybki i nieskomplikowany.</li> </ul> <ul style=""text-align: justify;""> <li style=""text-align: justify;""><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;"">SaS™ </span>(<strong>S</strong><span>hock<span> </span></span><strong>A</strong><span>bsorber<span> </span></span><strong>S</strong><span>ystem</span><span style=""font-family: Tahoma; font-size: 9pt;"">)  - system absorpcji wstrząsów,<span> </span></span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;"">osłabia odrzut.<span> </span></span><span>Pochłania wibrację </span><span style=""font-family: Tahoma; font-size: 9pt;"">powsta<span>łe</span> podczas wystrzału w karabinach sprężynowych.<span> </span></span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;"">SaS™<span> </span></span><span style=""font-family: Tahoma; font-size: 9pt;"">wydłuża trwałość wiatrówki oraz redukuje niekorzystne działanie na zamocowany celownik optyczny.</span></li> </ul> <ul style=""text-align: justify;""> <li style=""text-align: justify;""><span style=""font-family: Tahoma; font-size: 9pt;""><strong>Manualno / automatyczny bezpiecznik</strong> - <span>umieszczony w tylnej części komory cylindra wiatrówki chroni przed oddaniem niekontrolowanego strzału. Takie umiejscowienie pozwala na intuicyjną obsługę bezpiecznika kciukiem. Przed oddaniem strzału należy wcisnąć bezpiecznik co spowoduje zwolnienie blokady spustu, (każdorazowe naciągnięcie sprężyny wiatrówki powoduje automatyczne jego zadziałanie).</span></span></li> </ul> <ul style=""text-align: justify;""> <li style=""text-align: justify;""><span style=""font-family: Tahoma; font-size: 9pt;""><span><strong>EZ-Load Action System</strong> - firmy Hatsan jednym ruchem szybko napina i ładuje broń.</span></span></li> </ul> <ul> <li style=""text-align: justify;""><span style=""font-family: Tahoma; font-size: 9pt;""><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;"">Anti Bear-Trap Safety<span> </span></span><span style=""font-family: Tahoma; font-size: 9pt;"">- zabezpieczenie przed przedwczesnym zwolnieniem sprężyny podczas jej naciągania, chroni tym samym przed ewentualnymi urazami dłoni lub palców.<span> </span></span></span></li> </ul> <ul> <li style=""text-align: justify;""><strong>TruGlo </strong><span style=""font-family: Tahoma; font-size: 9pt;"">-<span> </span></span><span style=""font-family: Tahoma; font-size: 9pt;"">światłowodowe przyrządy celownicze </span><span style=""font-family: Tahoma; font-size: 9pt;"">z kontrastowymi kolorami włókien szklanych <span>przyspieszają zgrywanie muszki i szczerbinki, a dzięki wysokiej absorpcji światła, umożliwiają również strzelanie przy słabym oświetleniu. Otwarta</span></span><span> </span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;"">muszka</span><span style=""font-family: Tahoma; font-size: 9pt;""> w kolorze</span><span style=""font-family: Tahoma; font-size: 9pt;""></span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;""><span> </span>czerwonym </span>oraz<span style=""font-family: Tahoma; font-size: 9pt;""><span> </span></span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;"">szczerbinka<span> </span></span><span style=""font-family: Tahoma; font-size: 9pt;"">w kolorze</span><span style=""font-family: Tahoma; font-size: 9pt; font-weight: bold;""><span> </span>zielonym<span> </span></span><span style=""font-family: Tahoma; font-size: 9pt;"">z możliwością regulacji w pionie i poziomie.</span></li> </ul> <p style=""text-align: justify;"">Do każdej wiatrówki nie przekraczającej 17J, producent dołącza unikalny <strong>Certyfikat Limitu Energii 17 J.</strong> Certyfikat jest dokumentem stwierdzającym zgodność cech produktu, a tym samym legalność wiatrówki z polskimi przepisami. Legalnie sprowadzane na rynek polski wiatrówki posiadają wygrawerowany adres strony internetowej <span> </span><strong><a href=""http://www.hatsan.com.pl"">www.sharg.pl</a></strong><span><span> </span></span>wyłącznego dystrybutora firmy <strong>Sharg. </strong></p> <h2 style=""text-align: justify;"">Wiatrówka Hatsan SpeedFire, parametry techniczne ogólne:</h2> <p>Model: SpeedFire<br />Rodzaj: wiatrówka łamana, sprężyna gazowa<br />Energia początkowa: do 17 J<br />Długość całkowita: 1243.0 mm / 48.9”<br />Długość lufy: 360.0 mm / 14.0""<br />Waga: 3.6 kg / 7.9 lbs<br />Osada: Advanced Polymer Stock<br />Producent: Hatsan Arms, Turcja</p> <p><strong>Dane techniczne szczegółowe dla FAC (*):</strong><span> </span>kaliber 4.5 mm / .177<br /><span>Maksymalna prędkość wylotowa</span><span> </span><strong>(**)</strong><span>: 305 m/s  (1000 fps)<br />Energia: 48 J / 35 ft. lbs</span><br /><span>Pojemność magazynka: 12 szt.</span></p> <p><strong>Dane techniczne szczegółowe dla FAC (*):</strong><span> </span>kaliber 5.5 mm / .22<br /><span>Maksymalna prędkość wylotowa</span><span> </span><strong>(**)</strong><span>: 245 m/s  (800 fps)<br />Energia: 31 J / 23 ft. lbs<br /><span>Pojemność magazynka: 10 szt.</span><br /></span></p> <p style=""text-align: justify;""><strong>  *</strong> Powyższe wartości maksymalne, podane przez producenta dotyczą <strong>wyłącznie </strong>wiatrówek <strong>bez limitu energii.</strong><br /> <strong>**</strong> Prędkość wylotowa może się różnić nawet o<strong> 20%</strong> w zależności od masy i kształtu śrucin, temperatury oraz innych czynników otoczenia.</p> <p style=""text-align: justify;"">Opracowanie firma <strong>Sharg®</strong></p>";111150;sharg
OP2000;8592732007768;Preparat do czyszczenia nubuku, weluru Bennon Profi Care (OP2000);Bennon;Moda/Dodatki/Akcesoria do butów;23;18.7;23;;;0;0.1;https://hurt.sharg.pl/hpeciai/7624e04a11f9e119d0ca13d7cfd26466/111159_1.jpg;BNN PROFI CARE 75 ml płynny, bezbarwny koncentrat Bennon przeznaczony do konserwacji obuwia ze skór szorstkich: nubuk, welur, zamsz. Preparat pomaga dłużej utrzymać obuwie w czystości, odświeża jego wygląd a wierzchni materiał jest miękki i oddychający...;"<p style=""text-align: justify;""><strong>BNN PROFI CARE 75 ml </strong>płynny, bezbarwny koncentrat <span>marki </span><strong>Bennon. </strong>Przeznaczony do konserwacji obuwia ze skór szorstkich: <strong>nubuk, welur, zamsz. </strong><span>Preparat do pielęgnacji </span><span>pomaga </span><span>dłużej utrzymać skórę obuwie w czystości, odświeża jego wygląd a </span><span>wierzchni materiał jest miękki i oddychający.</span></p> <p>Opracowanie: firma <strong>Sharg®</strong></p>";111159;sharg
OP6000;8592732020217;Pasta, Krem hydrfobowy Bennon Profi Polish Black (OP6000);Bennon;Moda/Dodatki/Akcesoria do butów;15;12.2;23;8;;0;0.11;https://hurt.sharg.pl/hpeciai/310041add23cfca89d335a5137b074e8/111160_3.jpg|https://hurt.sharg.pl/hpeciai/bd5e82eb0a2a740426c8b3f3fd71d394/111160_4.jpg;BNN PROFI POLISH BLACK 70 ml, kremowy koncentrat do konserwacji obuwia ze skóry naturalnej oraz obuwia z membraną. Krem hydrofobowy utrzymuje, strukturę oraz właściwości oddychające skóry, ożywia kolory. Zabezpiecza przed działaniem wilgoci. Kolor czarny.;"<p style=""text-align: justify;""><strong>BNN PROFI POLISH BLACK 70 ml, </strong>gęsty kremowy koncentrat <span>marki </span><strong>Bennon </strong>do konserwacji obuwia ze skóry naturalnej jak również obuwia z membraną m.in. <strong>Gore-Tex, SympaTex, Regi-Tex. </strong></p> <p style=""text-align: justify;""><strong>Krem hydrofobowy</strong> utrzymuje, strukturę oraz właściwości oddychające skóry, ożywia jej kolor. Pasta podtrzymuje naturalną gładkość skóry oraz<span> zachowuje </span><span>wierzchni materiał natłuszczony. </span>Preparat zabezpiecza powierzchnię skóry przed działaniem wilgoci. Kolor <strong>czarny.</strong></p> <p style=""text-align: justify;""><strong>Sposób użycia</strong> - usunąć brud i kurz. Nanieść niewielką ilość kremu za pomocą bawełnianej ściereczki. Pozostawić do wchłonięcia.</p> <p>Opracowanie: firma <strong>Sharg®</strong></p>";111160;sharg
OP7000;8592732020200;Pasta, Krem hydrfobowy Bennon Profi Polish Bezbarwna (OP7000);Bennon;Moda/Dodatki/Akcesoria do butów;15;12.2;23;8;;0;0.11;https://hurt.sharg.pl/hpeciai/01f7f6b50a1fe0956f99cf3886e39d72/111161_3.jpg|https://hurt.sharg.pl/hpeciai/252875f5c1fc4dd9ecc6f580e4b2009b/111161_4.jpg;BNN PROFI POLISH TRANSPARENT 70 ml kremowy bezbarwny koncentrat do konserwacji obuwia ze skóry naturalnej oraz obuwia z membraną. Krem hydrofobowy utrzymuje, strukturę oraz właściwości oddychające skóry, ożywia kolory. Zabezpiecza przed działaniem wilgoci;"<p style=""text-align: justify;""><strong>BNN PROFI POLISH TRANSPARENT 70 ml, </strong>gęsty kremowy bezbarwny koncentrat <span>marki </span><strong>Bennon </strong>do konserwacji obuwia ze skóry naturalnej jak również obuwia z membraną m.in. <strong>Gore-Tex, SympaTex, Regi-Tex. </strong></p> <p style=""text-align: justify;""><strong>Krem hydrofobowy</strong> utrzymuje, strukturę oraz właściwości oddychające skóry, ożywia jej kolor. Pasta podtrzymuje naturalną gładkość skóry oraz<span> zachowuje </span><span>wierzchni materiał natłuszczony. </span>Preparat zabezpiecza powierzchnię skóry przed działaniem wilgoci.</p> <p style=""text-align: justify;""><strong>Sposób użycia</strong> - usunąć brud i kurz. Nanieść niewielką ilość kremu za pomocą bawełnianej ściereczki. Pozostawić do wchłonięcia.</p> <p>Opracowanie: firma <strong>Sharg®</strong></p>";111161;sharg
D48001;8592732019006;Wkładki do obuwia Bennon Warrior (D48001);Bennon;Sprzęt sportowy > Rekreacja na świeżym powietrzu > Wędkarstwo > Spodniobuty;18;14.63;23;10.4;;3;0.072;https://hurt.sharg.pl/hpeciai/2dc97ab130ec62139192c4a187d80291/111162_1.jpg|https://hurt.sharg.pl/hpeciai/1e25cea7bb32240de08f03f169c18e9f/111162_4.jpg|https://hurt.sharg.pl/hpeciai/94bfd4f069e4045453dd3efb520e90dc/111162_2.jpg|https://hurt.sharg.pl/hpeciai/5043a74f72c4d6173439696fdc82c2be/111162_3.jpg;BNN WARRIOR INSOLE - trójkomponentowa, wymienna anatomicznie ukształtowana ze szwami antystatycznymi wkładka do butów. Przednia część wyściółki perforowana. Lateksowy absorber element odciążający w części piętowej. Materiał: pianka EVA, Cambrelle, Lateks.;"<p style=""text-align: justify;""><strong>BNN WARRIOR INSOLE</strong> - <span>trójkomponentowa, wymienna </span>anatomicznie ukształtowana (dopasowująca się do kształtu stopy) ze szwami antystatycznymi wkładka do butów <span>marki </span><strong>Bennon.</strong> <span>Przednia część wyściółki perforowana.<strong> Lateksowy</strong> absorber element odciążający w części piętowej. Materiał: pianka <strong>EVA</strong> (szary), <strong>Cambrelle</strong> (czarny), <strong>Lateks</strong> (niebieski).</span></p> <p style=""text-align: justify;""><strong>CAMBRELLE</strong> - wyściółka o strukturze siatki posiadająca właściwości oddychające, antybakteryjne oraz antypotne firmy <strong>DuPont®.</strong> Wchłania wilgoć powstającą na powierzchni stopy, absorbuje trzy i pół razy więcej wody niż sama waży dzięki czemu stopa pozostaje sucha, umożliwia swobodny przepływ powietrza. Wyjątkowo odporna na ścieranie, bardzo szybko wysycha. Eliminuje przykre zapachy.</p> <p style=""text-align: justify;"">Dostępne rozmiary EU: <strong>36-47</strong></p> <p><strong>Dane techniczne:</strong><br />Numer produktu: D48001<br />Skład: EVA, Cambrelle, Lates <br />Waga: 70 g / 0.15 lb<br />Producent: Z-Style CZ a.s., Czechy</p> <p>Opracowanie: firma <strong>Sharg®</strong></p>";111162;sharg
D33155 (155);8592732023010;Sznurowadła Bennon do czarno-szare 155cm (D33155);Bennon;*Kategoria tymczasowa;8;6.5;23;3.6;;0;;https://hurt.sharg.pl/hpeciai/2a96085add34173726492e985a331f33/111165_1.jpg;High-quality black and gray laces, 155 cm long, for trekking / tactical footwear.;"<p>High-quality <strong>black</strong> and <strong>gray</strong> laces, <strong>155 cm</strong> long, for<strong> trekking / tactical </strong>footwear.</p> <strong>Technical Specification:</strong><br> Length: 155 cm<br> Number of meshes in the shoe: 6-8<br> Color: Black-gray<br> Producer: Bennon, Czech Republic <br><br> Created by: <strong>Sharg&reg;</strong> Company";111165;sharg
