SKU;EAN;Nazwa;Marka;Kategoria;Cena_brutto_PLN;Cena_netto_PLN;VAT_procent;Cena_poprzednia;Cena_zakupu;Stan;Waga_kg;Zdjecia_URL;Krotki_opis;Opis_HTML;ID_dostawcy;Zrodlo
659-11.5 RF DS3 G;5905247629906;Cążki do skórek 6mm Herder Solingen 11.5cm satin-gold (659-11.5 RF DS3 G);Otto Herder Solingen;Zdrowie i uroda > Higiena osobista > Kosmetyki > Akcesoria kosmetyczne > Akcesoria do paznokci;78;63.41;23;49;;0;;;;;100554;sharg
658-10 RF CH;5905247629425;Cęgi do paznokci boczne Herder Solingen Nierdzewne 100mm (658-10 RF CH);Otto Herder Solingen;Zdrowie i uroda > Higiena osobista > Kosmetyki > Akcesoria kosmetyczne > Akcesoria do paznokci;68;55.28;23;33.6;;0;0.057;https://hurt.sharg.pl/hpeciai/8017e6b48bf1b68abba18db34944a67b/100556_3.jpg|https://hurt.sharg.pl/hpeciai/360c5d32dbcef089e5e50d5c505fc750/100556_4.jpg|https://hurt.sharg.pl/hpeciai/f25089e91dc929d5df70e200538cb53d/100556_1.jpg|https://hurt.sharg.pl/hpeciai/c248f436bf4cc67b531a8eae9eefc62d/100556_2.jpg;658-10 RF CH profesjonalne 100mm boczne cęgi do pedicure 100mm firmy Otto Herder z Solingen do obcinania twardych zrogowaciałych paznokci. Wykonane z wysokiej jakości antyalergicznej kutej na gorąco hartowanej stali nierdzewnej. Nadają się do sterylizacji;"<p style=""text-align: justify;""><strong>658-10 RF CH</strong> - profesjonalne satynowane, boczne cęgi do pedicure <span>niemieckiej firmy </span><strong>Otto Herder<span> </span></strong><span>z</span><strong><span> </span>Solingen. </strong>Przeznaczone do skracania paznokci. <span>Wykonane z wysokiej jakości antyalergicznej, kutej na gorąco hartowanej stali nierdzewnej / chirurgicznej (stosowanej przy produkcji narzędzi chirurgicznych). Wyposażone w </span><span>sprężynę drucianą</span><span>. </span>Cążki nadają się do sterylizacji w autoklawie. <span>Wykończenie </span><strong>satin finish.</strong><span> </span>Made in <strong>Germany.</strong></p> <p style=""text-align: justify;""><strong>Ostrze</strong> - boczne <span>o profilu wygiętym, długości <strong>17 mm</strong><span> </span></span>umożliwia łatwe i precyzyjne skracanie twardych, <span>zrogowaciałych </span>paznokci u stóp. Wygięte ostrza tnące cążek przylegają do siebie na całej długości.</p> <p style=""text-align: justify;""><strong>Ramiona</strong> - ergonomiczne, wykonane z moletowanej stali, nie wyślizgują się z dłoni, a pewny, mocny uchwyt ułatwia precyzyjne wykonywanie zabiegu. Solidna konstrukcja łączenia ramion.</p> <p><strong>Dane techniczne:</strong><br />Numer produktu: 658-10 RF CH<br />Rodzaj stali: Stainless Steel<br />Wykończenie: Satin Finish<br />Długość całkowita: 100 mm / 3.94""<br />Długość ostrza: 17 mm / 0.67""<br />Profil ostrza: grzbiet zaokrąglony łukiem w kierunku szpica<br />Sposób montażu: nitowane (lap-jointed) <br />Sprężyna: Druciana<br />Ramiona: Checkered (moletowane)<br />Waga: 51 g / 1.80 oz<br />Etui: Tak<br />Dezynfekcja / Sterylizacja: Tak<br />Producent: Otto Herder, Solingen Germany</p> <p style=""text-align: justify;"">Opracowanie: firma<strong> Sharg®</strong></p>";100556;sharg
002730 (C05) (C06);5905247620859;Obcinacze do paznokci Everts Solingen Chrom 55mm 12szt (002730);Everts Solingen;Zdrowie i uroda > Higiena osobista > Kosmetyki > Akcesoria kosmetyczne > Akcesoria do paznokci;60;48.78;23;42;;24;1;https://hurt.sharg.pl/hpeciai/d515782f6a0b63d990d7b0223fc4510b/100571_1.jpg|https://hurt.sharg.pl/hpeciai/c4faf92551e343337317679da8c7107c/100571_2.jpg|https://hurt.sharg.pl/hpeciai/9cc84235545dc85b8e3dd19507e67620/100571_3.jpg|https://hurt.sharg.pl/hpeciai/c83c11b7e833649b2d70e43a459b5243/100571_4.jpg;Obcinacze do paznokci z łańcuszkiem niemieckiej firmy Everts Solingen, komplet 12 szt. Zagięte ostrze ułatwia precyzyjne wykonanie zabiegu. Wygodne klasyczne uchwyty. Wykonany ze stali węglowej, niklowany...;"<h2>Obcinacze do Paznokci Everts Solingen: Precyzja i Elegancja w Jednym</h2> <p>Kiedy myślisz o idealnych obcinaczkach do paznokci, co przychodzi Ci na myśl? Precyzja? Wygoda? A może trwałość? Dzięki obcinaczkom Everts Solingen, nie musisz wybierać między jednym a drugim.</p> <h3>Dlaczego warto wybrać obcinaczki Everts Solingen?</h3> <ol> <li><strong>Niemiecka jakość</strong>: Wyprodukowane przez renomowaną firmę Everts Solingen, te obcinaczki gwarantują najwyższą jakość wykonania.</li> <li><strong>Precyzyjne cięcie</strong>: Dzięki zagiętemu ostrzu, każde cięcie jest dokładne i precyzyjne, pozwalając na idealne przycięcie paznokci.</li> <li><strong>Trwałość na lata</strong>: Wykonane ze stali węglowej i pokryte niklem, te obcinaczki są nie tylko eleganckie, ale także niezwykle trwałe.</li> <li><strong>Wygodne w użyciu</strong>: Klasyczne uchwyty sprawiają, że są one niezwykle wygodne w użyciu, nawet przez dłuższy czas.</li> </ol> <p><strong>Nie czekaj, dbaj o swoje paznokcie z klasą!</strong><br />Zainwestuj w zestaw obcinaczek do paznokci Everts Solingen i doświadcz r&oacute;żnicy. Zadbaj o swoje paznokcie z precyzją i elegancją, jakiej zasługują.</p> <h3>Dane Techniczne:</h3> <ul> <li>Numer produktu: 002730</li> <li>Długość całkowita: 55 mm</li> <li>Materiał: stal węglowa</li> <li>Wykończenie: Nikiel</li> <li>Dezynfekcja: Nie</li> </ul> <p><em>Opracowanie: firma Sharg&reg;</em></p> <p><strong>Zam&oacute;w już dziś i przekonaj się sam!</strong></p>";100571;sharg
226N 3 (C09);5905247628473;Penseta Herder Solingen Skośna / Slant, Niklowana 75mm (226N 3);Otto Herder Solingen;Zdrowie i uroda > Higiena osobista > Kosmetyki > Akcesoria kosmetyczne > Akcesoria do paznokci;8;6.5;23;;;0;0.011;https://hurt.sharg.pl/hpeciai/8f7efc1780e83d4ff0ac0c2bbe6700af/100573_1.jpg|https://hurt.sharg.pl/hpeciai/264b0a12fae0ac8f5719c962722b3fe4/100573_4.jpg|https://hurt.sharg.pl/hpeciai/16251e64303462fe7b537877f1502a28/100573_3.jpg|https://hurt.sharg.pl/hpeciai/da55a5fd65dcfdaca9b74f221c6591bc/100573_2.jpg;"226N, skośna (slant) penseta o długości 3"" niemieckiej firmy Otto Herder. Niklowana, wykonana ze stali węglowej. Made in Germany...";"<p style=""margin: 0pt; text-align: justify;""><strong>226N,</strong> <strong>skośna</strong> (slant) penseta o długości <span><strong>3""</strong> </span>niemieckiej firmy <strong>Otto Herder</strong><strong>. </strong>Niklowana, wykonana ze stali węglowej. Made in<strong> Germany.</strong></p> <p>Opracowanie: firma<strong> Sharg®</strong></p>";100573;sharg
207N ST 3 1/2 (C09);5905247628787;Penseta Filax Solingen Skośna / Slant, Niklowana 90mm (207N ST 3 1/2);Otto Herder Solingen;Zdrowie i uroda > Higiena osobista > Kosmetyki > Akcesoria kosmetyczne > Akcesoria do paznokci;13;10.57;23;;;0;0.014;https://hurt.sharg.pl/hpeciai/38b939bc3e285b760086c9ae119f4921/100575_3.jpg|https://hurt.sharg.pl/hpeciai/db51be78be68dee8c9a063deedb21cbd/100575_4.jpg|https://hurt.sharg.pl/hpeciai/5e7e9438e1ab8c6cb5df96cdf7475a4d/100575_2.jpg|https://hurt.sharg.pl/hpeciai/77d0810e98e8323d5d04744849d6df7f/100575_1.jpg;"207N, penseta skośna (slant) Filax Solingen o długości 3 ½"", niemieckiej firmy Otto Herder. Wykonana ze stali węglowej. Made in Germany...";"<p style=""text-align: justify;""><strong>207N,</strong> penseta <strong>skośna</strong> (slant) <strong>Filax Solingen </strong>o długości <span><strong>3 ½"",</strong> </span>niemieckiej firmy <strong>Otto Herder</strong><strong>. </strong>Wykonana ze stali węglowej. Made in<strong> Germany.</strong></p> <p>Opracowanie: firma<strong> Sharg®</strong></p>";100575;sharg
213G CU 3 (C09);5905247628763;Penseta Filax Solingen Zagięta / Curved, Złocona 75mm (213G CU 3);Otto Herder Solingen;Zdrowie i uroda > Higiena osobista > Kosmetyki > Akcesoria kosmetyczne > Akcesoria do paznokci;18;14.63;23;;;0;0.011;https://hurt.sharg.pl/hpeciai/14d3e52e96207fb750ae13659d333e8e/100578_1.jpg|https://hurt.sharg.pl/hpeciai/255d3e7af8f2fa8b31947fb965899c47/100578_4.jpg|https://hurt.sharg.pl/hpeciai/209529b811dfc90716df9f4abaac6dff/100578_3.jpg|https://hurt.sharg.pl/hpeciai/593504f83c86fab8e765b02d154f8306/100578_2.jpg;"213G (Gold), Filax Solingen, penseta zagięta (curved) o długości 3"", niemieckiej firmy Otto Herder. Złocona, wykonana ze stali węglowej. Made in Germany...";"<p style=""text-align: justify;""><strong>213G</strong> (Gold), <strong>Filax Solingen,</strong> penseta <strong>zagięta</strong> (curved) o długości <span><strong>3"",</strong> </span>niemieckiej firmy <strong>Otto Herder</strong><strong>. </strong>Złocona, wykonana ze stali węglowej. Made in<strong> Germany.</strong></p> <p>Opracowanie: firma<strong> Sharg®</strong></p>";100578;sharg
218G CU 3 (C09);5905247628701;Penseta Herbertz Solingen Zagięta / Curved, Złocona 75mm (218G CU 3);Otto Herder Solingen;Zdrowie i uroda > Higiena osobista > Kosmetyki > Akcesoria kosmetyczne > Akcesoria do paznokci;28;22.76;23;;;19;0.013;https://hurt.sharg.pl/hpeciai/6ce6484cd1802aaac7c4e38a27ab6be5/100581_1.jpg|https://hurt.sharg.pl/hpeciai/45b0208913f46ef1db61699805f1d413/100581_3.jpg|https://hurt.sharg.pl/hpeciai/72e861c22d40968a9b6eef49a954107a/100581_2.jpg|https://hurt.sharg.pl/hpeciai/ccc69e6b9349cddbbc9f2aad50abf123/100581_4.jpg;"218G (Gold), profesjonalna zagięta (curved) penseta o długości 3"", niemieckiej firmy Otto Herder z Solingen. Złocona, wykonana ze stali węglowej. Made in Germany...";"<p style=""margin: 0pt; text-align: justify;""><strong>218G</strong> (Gold), profesjonalna <strong>zagięta</strong> (curved) penseta o długości <span><strong>3"",</strong> </span>niemieckiej firmy <strong>Otto Herder</strong> z <strong>Solingen. </strong>Złocona, wykonana ze stali węglowej. Made in<strong> Germany.</strong></p> <p>Opracowanie: firma<strong> Sharg®</strong></p>";100581;sharg
219 G CU 3;5905247628688;Penseta zagięta/Curved Herder Solingen 7.5cm Gold (219 G CU 3);Otto Herder Solingen;Zdrowie i uroda > Higiena osobista > Kosmetyki > Akcesoria kosmetyczne > Akcesoria do paznokci;13;10.57;23;11.7;;0;0.012;https://hurt.sharg.pl/hpeciai/a99f5443bad59145bb41ddfb31f7aa7f/100583_1.jpg|https://hurt.sharg.pl/hpeciai/a99f5443bad59145bb41ddfb31f7aa7f/100583_1_3.jpg|https://hurt.sharg.pl/hpeciai/7b5bc799d8ed9303d4b7664fa0ae92ce/100583_2.jpg|https://hurt.sharg.pl/hpeciai/a3d446c1e505da64aaf19c1d4246d533/100583_3.jpg|https://hurt.sharg.pl/hpeciai/357a775a237c0c5b54dbc9d120c66519/100583_4.jpg|https://hurt.sharg.pl/hpeciai/357a775a237c0c5b54dbc9d120c66519/100583_4_3.jpg;;;100583;sharg
655 RF 3 1/2 SMG (C11);5905247628985;Nożyczki uniwersalne Herder Solingen Satin Gold (655 RF 3 1/2 SMG);Otto Herder Solingen;Artykuły dla dorosłych > Broń > Noże szturmowe;68;55.28;23;21;;13;0.028;https://hurt.sharg.pl/hpeciai/180037d97294dc41dda8b9d8f99cb95f/100593_1.jpg|https://hurt.sharg.pl/hpeciai/f4b24bc67eda2ddbe07b56266345eb56/100593_2.jpg|https://hurt.sharg.pl/hpeciai/c6a0e3c4b02a813560f19d85a02f5ed8/100593_3.jpg|https://hurt.sharg.pl/hpeciai/d858f697bf78e9d8a512bb449126d177/100593_4.jpg;;;100593;sharg
641 RF 3 1/2 SM (C11);5905247629173;Nożyczki do skórek Herder Solingen Satin (641 RF 3 1/2 SM);Otto Herder Solingen;Artykuły dla dorosłych > Broń > Noże szturmowe;48;39.02;23;23.1;;0;0.021;https://hurt.sharg.pl/hpeciai/cabfd8b3197afb0e5bf1546e08a52440/100594_1.jpg|https://hurt.sharg.pl/hpeciai/21ba946e65dec39dfe47d35aeafc9862/100594_2.jpg|https://hurt.sharg.pl/hpeciai/2a84f3251ea58162895f44205943645b/100594_3.jpg|https://hurt.sharg.pl/hpeciai/1bb4e64d056d7190d290dc3e46eb9b41/100594_4.jpg;;;100594;sharg
