SKU;EAN;Nazwa;Marka;Kategoria;Cena_brutto_PLN;Cena_netto_PLN;VAT_procent;Cena_poprzednia;Cena_zakupu;Stan;Waga_kg;Zdjecia_URL;Krotki_opis;Opis_HTML;ID_dostawcy;Zrodlo
6900ND QL;5905247622914;Ładownica Fobus na magazynki Glock 9mm (6900ND QL);Fobus;Artykuły dla dorosłych > Broń > Konserwacja i akcesoria do broni palnej > Kabury;108;87.8;23;;;0;0.144;https://hurt.sharg.pl/hpeciai/fd06c85a5c57abffb868d5004a54bcee/115537_1.jpg|https://hurt.sharg.pl/hpeciai/79163d952916c7a0d88a54ddbb4d8877/115537_4.jpg|https://hurt.sharg.pl/hpeciai/43303c0ccdb02a5b928ddf34b68f01f3/115537_5.jpg;6900ND QL, ładownica otwarta Fobus typ ND na dwa dwurzędowe magazynki pistoletowe w kalibrze 9 mm i .40 do pistoletów Glock, H&K itp. Wyposażona w adapter/szynę QuickLock.;"<p style=""text-align: justify;""><strong>6900ND QL,</strong> ładownica otwarta <strong>Fobus</strong> typ <strong>ND</strong> na <strong>dwa dwurzędowe magazynki</strong> pistoletowe w kalibrze<strong> 9 mm</strong> i<strong> .40 </strong>do <span>pistoletów<span> </span></span><strong>Glock, H&amp;K</strong><span> itp. </span><span>Wyposażona w system</span><strong> QuickLock.</strong></p> <p style=""text-align: justify;"">Opracowanie: firma <strong>Sharg®</strong></p>";115537;sharg
RBT17 LS Bundle;5905247624123;Kabura, osłony na latarkę, laser Fobus Taurus PT809E (RBT17 LS Bundle);Fobus;Artykuły dla dorosłych > Broń > Konserwacja i akcesoria do broni palnej > Kabury;158;128.46;23;;;1;0.32;https://hurt.sharg.pl/hpeciai/367b0c83997bafc72cf0d5dde3260e89/115538_1.jpg|https://hurt.sharg.pl/hpeciai/f893e6cfba7ad87aab1da0c7c4a52959/115538_2.jpg|https://hurt.sharg.pl/hpeciai/c4d388699c93ae80775cdcbc84dc505d/115538_3.jpg|https://hurt.sharg.pl/hpeciai/4492d78f777d1771089f52ad73439318/115538_4.jpg|https://hurt.sharg.pl/hpeciai/aadabced79084c9c3979314ad579ad23/115538_5.jpg|https://hurt.sharg.pl/hpeciai/e348669d59230abf6a9793932845254c/115538_6.jpg;;;115538;sharg
RBT17 LS Bundle RT;5905247624116;Kabura, osłony na latarkę, laser Fobus BUL CHEROKEE (RBT17 LS Bundle RT);Fobus;Artykuły dla dorosłych > Broń > Konserwacja i akcesoria do broni palnej > Kabury;178;144.72;23;;;0;0.342;https://hurt.sharg.pl/hpeciai/89782901dfc921d79e9f4699271bbcb9/115539_1.jpg|https://hurt.sharg.pl/hpeciai/eaa62d7256aa576131824fa18f4d3e58/115539_2.jpg|https://hurt.sharg.pl/hpeciai/c4749f1ca9dacc948de2979d579d5440/115539_3.jpg|https://hurt.sharg.pl/hpeciai/cbd0d493c9f7adc4e157f4ef6aff4e1f/115539_4.jpg|https://hurt.sharg.pl/hpeciai/998a02a863265f9cc026d0811069c478/115539_5.jpg|https://hurt.sharg.pl/hpeciai/09d904cc7d56dbf7c8998c533e82849f/115539_6.jpg;;;115539;sharg
RPS BH;5905247623966;Platforma Fobus QuickLock Small Size do kabur i ładownic (RPS BH);Fobus;Hobby/Militaria i strzelectwo/Strzelectwo/Akcesoria do broni palnej/Kabury i pasy nośne;78;63.41;23;;;1;0.048;https://hurt.sharg.pl/hpeciai/0ebf75c93b968e57f0df8a12889fe2d3/115540_1.jpg|https://hurt.sharg.pl/hpeciai/63e76f4e5defa6c6f90fe7fa6a837e84/115540_2.jpg;;;115540;sharg
HSP-2 RP1;5905247622440;Ładownica Fobus na kajdanki łańcuszkowe, zawiasowe (HSP-2 RP1);Fobus;Artykuły dla dorosłych > Broń > Konserwacja i akcesoria do broni palnej > Kabury;118;95.93;23;;;0;0.212;https://hurt.sharg.pl/hpeciai/da94510bb6eaeab6915bb9da56cd44db/115541_1.jpg|https://hurt.sharg.pl/hpeciai/13ef0d9051a51a08e1444c43300f008c/115541_2.jpg|https://hurt.sharg.pl/hpeciai/b2290b7a577c851e23bc97c36e40be73/115541_3.jpg|https://hurt.sharg.pl/hpeciai/d2a5dbeaf66df780c8fff459a8fda561/115541_5.jpg|https://hurt.sharg.pl/hpeciai/c77af86bd64a50ccd3504c660f4752f3/115541_4.jpg;HSP-2 RP1, ładownica zamknięta firmy Fobus z uniwersalną platformą transportową single rail platform (RP1) wyposażoną w umożliwiający szybkie wypięcie kabury adapter QuickLock. Do przenoszenia większości metalowych kajdanek łańcuszkowych i zawiasowych.;"<p style=""text-align: justify;""><strong>HSP-2 RP1,</strong> ładownica zamknięta firmy <strong>Fobus</strong> z uniwersalną platformą transportową <strong>single rail platform</strong> (RP1) wyposażoną w umożliwiający szybkie wypięcie kabury adapter <strong>QuickLock.</strong> Przeznaczona do przenoszenia większości metalowych kajdanek<strong> łańcuszkowych</strong> i <strong>zawiasowych.</strong></p> <p>Opracowanie: firma Sharg®</p>";115541;sharg
HSP-2 RP1 BH ND;5905247622433;Ładownica Fobus na kajdanki łańcuszkowe, zawiasowe (HSP-2 RP1 BH ND);Fobus;Artykuły dla dorosłych > Broń > Konserwacja i akcesoria do broni palnej > Kabury;118;95.93;23;;;0;0.204;https://hurt.sharg.pl/hpeciai/f221ea9ef22acfacdc7f9111992a4643/115542_1.jpg|https://hurt.sharg.pl/hpeciai/41fd8855a1a9fc23a4acfb80c66edd6b/115542_3.jpg|https://hurt.sharg.pl/hpeciai/f38a06473f07a18b8a7fefbe32c5d2f3/115542_2.jpg|https://hurt.sharg.pl/hpeciai/da94353dec676c09d4bd5bb0c16bcb19/115542_4.jpg;;;115542;sharg
SWCH LH RT;5905247623539;Kabura Fobus SWCH LH RT do S&W M&P i M&P M2.0, FN FNS9 - Lewa;Fobus;Artykuły dla dorosłych > Broń > Konserwacja i akcesoria do broni palnej > Kabury;158;128.46;23;;;1;0.193;https://hurt.sharg.pl/hpeciai/845eae85ed10210a569060753ce5a1ae/115543_1.jpg|https://hurt.sharg.pl/hpeciai/887259e007076349f86a4619d8816eaf/115543_2.jpg|https://hurt.sharg.pl/hpeciai/afeb9668766b121db403b8d0ecd9a38b/115543_3.jpg|https://hurt.sharg.pl/hpeciai/2560e076a434eaf4311be9f7b06dd8e6/115543_4.jpg|https://hurt.sharg.pl/hpeciai/cd5eea52d603a5d4aa2d45de7ea1db16/115543_5.jpg;SWCH LH RT kabura zewnętrzna OWB z serii CH stawia na bezpieczeństwo. Mechanizm zabezpieczający zapewnia bezpieczne przenoszenie broni w kaburze, dodatkowo wymusza prawidłowy uchwyt broni podczas jej dobycia. Do: FN FNS9 Full Size, S&W M&P oraz M&P M2.0.;"<p style=""text-align: justify;""><span><strong>SWCH LH RT</strong></span><span> mocowana na pas, zewnętrzna kabura typu <strong>OWB</strong> (<strong>O</strong>utside the <strong>W</strong>aist <strong>B</strong>and)<strong> </strong>z serii<strong> CH</strong> firmy <strong>Fobus. </strong>Seria <strong>CH</strong> to linia kabur zaprojektowanych z naciskiem na bezpieczeństwo i wygodę. Jej niski profil ułatwia ukrycie broni, zwiększając komfort przenoszenia. Kabura dobrze zabezpiecza przed uszkodzeniem, nie ma tendencji do przemieszczania się. Wykonana w całości z 100% formowanego wtryskowo polimeru. Wersja dla <strong>lewo</strong><strong>ręcznych.</strong></span></p> <p style=""text-align: justify;""><span><strong>CH</strong><span> </span>- profesjonalna seria kabur, która stawia na bezpieczeństwo. Mechanizm zabezpieczający Trigger Guard Locking System (CH Rapid Release System) zapewnia bezpieczne przenoszenie broni w kaburze, zapobiegając jej wypadnięciu podczas przemieszczania. Dodatkowo wyprofilowany przycisk mechanizmu blokującego wymusza prawidłowy uchwyt broni podczas dobycia. Po dobyciu broni palec wskazujący nadal znajduje się nad spustem w prawidłowej pozycji strzeleckiej. Zabezpieczenie utrudnia nieuprawnione wyjęcie broni z kabury podczas przemieszczania się w tłumie.</span></p> <p style=""text-align: justify;""><strong>D</strong><span><strong>o pistoletów:<br /></strong></span><span><strong>FN</strong>: FNS9 Full Size<br /><strong>Smith &amp; Wesson:</strong><span> </span>M&amp;P, M&amp;P M2.0 </span></p> <p style=""text-align: justify;""><span><strong>Rodzaj mocowania:<br /></strong><strong>RT</strong><span> (Rotating Paddle) płetwa na pas - wsuwany na pas o szerokości </span><strong>1.75""</strong><span><span> </span>(45 mm)</span><span>,</span><span> ultralekki uniwersalny uchwyt transportowy do obrotowych </span><strong>kabur</strong><span> oraz </span><strong>ładownic </strong><span>z możliwą regulacją kąta nachylenia przez użytkownika. </span><span>Umożliwia pełny obrót zamocowanego sprzętu o </span><strong>360 stopni</strong><span><span> </span>oraz możliwość ustawienia i zablokowania kąta nachylenia w jednej z<span> </span></span><strong>16 predefiniowanych pozycji.</strong></span></p> <p style=""margin: 0pt;""><span><strong>Dane techniczne:</strong><br />Numer produktu: SWCH LH RT<br />Do pistoletu: FN, Smith and Wesson<br /><br /></span></p> <p style=""margin: 0pt;""><span>Typ kabury: OWB, Locking Holsters - CH Series<br />Mocowanie: RT (Rotating Paddle)</span></p> <p style=""margin: 0pt;""><span>Wersja: Dla leworęcznych</span></p> <p style=""margin: 0pt;""><span> <br /><span>Materiał: Mold Injection Polymer Formula</span><br /><span>Kolor: Black</span></span></p> <p style=""margin: 0pt;""><span><span><br /></span>Waga: 149.0 g / 5.26 oz <br /><br />Producent: Fobus International Ltd.<br />Kraj pochodzenia: Izrael</span></p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;""> </p> <p style=""text-align: justify; margin: 0pt 0pt 0pt 0pt;"">Opracowanie: firma<span> </span><strong>Sharg®</strong></p>";115543;sharg
Z90128;8592732053468;Buty Bennon Nexo Grey Low (0658030020);Bennon;Sprzęt sportowy > Rekreacja na świeżym powietrzu > Wędkarstwo > Spodniobuty;123;100;23;;;0;0.698;https://hurt.sharg.pl/hpeciai/83e60412f6495e79431ad113f39a5b3f/115546_1.jpg|https://hurt.sharg.pl/hpeciai/2b4ffeb3af7086b7ca68457fbc88c7e3/115546_2.jpg|https://hurt.sharg.pl/hpeciai/f742c2a55b83712f9b73aaf831754d69/115546_3.jpg|https://hurt.sharg.pl/hpeciai/8754a9a53af0cfcf4fc678aad84adce9/115546_4.jpg|https://hurt.sharg.pl/hpeciai/7c3bb58e5234da7d019749748f6641a8/115546_5.jpg;BNN Grey Low ultralekkie przewiewne buty zaprojektowane do użytku w czasie wolnym. Dopasowują się do każdego kształtu stopy. Wewnętrzna podszewka znajdująca się w okolicy pięty zapewnia doskonałą wentylację. Lekka gumowa podeszwa zwiększa uczucie komfortu;"<p style=""text-align: justify;""><strong><span>BNN Nexo Grey Low</span>,</strong> ultralekkie i przewiewne obuwie przeznaczone do treningu, fitnessu i codziennej aktywności. Niezwykle wygodne, idealnie dopasowują się do każdego kształtu stopy. Znajdująca się wyłącznie w okolicy pięty <span>podszewka </span>zapewnia doskonałą wentylację. Lekka, elastyczna płaska podeszwa z wysokogatunkowego tworzywa zwiększa uczucie komfortu. Zapięcie 4 pary pętelek tekstylnych, zaokrąglone sznurówki z plastikowym zakończeniem.</p> <p><strong>Dane techniczne:</strong><br />Numer produktu: 0658030020<br />Nazwa: BNN Nexo Grey Low<br />Wierzch: 3D knit (wysokogatunkowa dzianina)<br />Wyściółka: Pianka EVA + materiał tekstylny<br />Wkładka: Włóknina tekstylna<br />Podeszwa: WAVER PU<br />Marka: Bennon<br />Producent: Z-Style, Republika Czeska</p> <p style=""text-align: justify;"">Opracowanie: firma <strong>Sharg®</strong></p>";115546;sharg
Z90127;8592732053123;Buty Bennon Nexo Blue Low (0654030090);Bennon;Sprzęt sportowy > Rekreacja na świeżym powietrzu > Wędkarstwo > Spodniobuty;123;100;23;;;0;0.773;https://hurt.sharg.pl/hpeciai/5e784c10e570a6d104a06df32aed2c02/115551_1.jpg|https://hurt.sharg.pl/hpeciai/0e952c90889110bceb37ea072f12b915/115551_5.jpg|https://hurt.sharg.pl/hpeciai/9d5d5b85a238c298235dfa131dc509e7/115551_2.jpg|https://hurt.sharg.pl/hpeciai/8a3baace4a48e2dae08bedf06301f3ed/115551_4.jpg|https://hurt.sharg.pl/hpeciai/657948bfd273f23526ed9b8020765dbe/115551_3.jpg;BNN Nexo Blue, ultralekkie oddychające buty zaprojektowane do użytku w czasie wolnym. Dopasowują się do każdego kształtu stopy. Wewnętrzna podszewka znajduje się wyłącznie w okolicy pięty, co zapewnia  doskonałą wentylację. Lekka podeszwa zwiększa komfort;"<p style=""text-align: justify;""><strong><span>BNN Nexo Blue Low</span>,</strong> ultralekkie i przewiewne obuwie przeznaczone do treningu, fitnessu i codziennej aktywności. Niezwykle wygodne, idealnie dopasowują się do każdego kształtu stopy. Znajdująca się wyłącznie w okolicy pięty <span>podszewka </span>zapewnia doskonałą wentylację. Lekka, elastyczna płaska podeszwa z wysokogatunkowego tworzywa zwiększa uczucie komfortu. Zapięcie, 4 pary pętelek tekstylnych, zaokrąglone niebieskie sznurówki z plastikowym zakończeniem.</p> <p><strong>Dane techniczne:</strong><br />Numer produktu: 0654030090<br />Nazwa: BNN Nexo Blue Low<br />Wierzch: 3D knit (wysokogatunkowa dzianina)<br />Wyściółka: Pianka EVA + materiał tekstylny<br />Wkładka: Włóknina tekstylna<br />Podeszwa: WAVER PU<br />Marka: Bennon<br />Producent: Z-Style, Republika Czeska</p> <p style=""text-align: justify;"">Opracowanie: firma <strong>Sharg®</strong></p>";115551;sharg
SR22 B;8051887881857;Nóż składany LionSteel SR22 Bronze Titanium, Satin Sleipner by Molletta (SR22 B);LionSteel;Artykuły dla dorosłych > Broń > Noże szturmowe;1258;1022.76;23;;;0;0.203;https://hurt.sharg.pl/hpeciai/e305946647f608dea734eb27c962a12d/115555_9.jpg|https://hurt.sharg.pl/hpeciai/8151f1812cac8e05268b5e0cfe70ac41/115555_1.jpg|https://hurt.sharg.pl/hpeciai/f267f2ac8cb59e9d2ec85569bec11803/115555_2.jpg|https://hurt.sharg.pl/hpeciai/f90e7461c07e6f7163059d9bea8344d5/115555_3.jpg|https://hurt.sharg.pl/hpeciai/f45a4517d72afc1f7ff60aa59bdbd7a5/115555_4.jpg|https://hurt.sharg.pl/hpeciai/94897f802980c0b067f7f3fbb0fbd01b/115555_5.jpg|https://hurt.sharg.pl/hpeciai/f54e1a4cd998a9d79fa41e3985670b1c/115555_6.jpg|https://hurt.sharg.pl/hpeciai/0027f6754864c597e6e09ab6c137434a/115555_7.jpg|https://hurt.sharg.pl/hpeciai/756f0cd2dc469280e18fdd1d46e61fb2/115555_8.jpg|https://hurt.sharg.pl/hpeciai/41411dd1820b20032ad1d1181dd9f228/115555_10.jpg;SR22 Bronze Titanium, Satin Blade folder włoskiej manufaktury LionSteel. Mniejsza wersja noża SR11, który był ewolucją historycznego modelu SR-1, zdobywcy nagrody na targach Blade Show. Lekki, wytrzymały folder EDC z ekskluzywną technologią Solid Knife.;"<p style=""text-align: justify;""><strong>SR22 Bronze Titanium, Satin Blade</strong> <span>lekki i wytrzymały kompaktowy </span>folder <strong>E.D.C. </strong>włoskiej manufaktury <strong>LionSteel</strong> z ekskluzywną technologią <strong>Solid®. </strong>Mniejsza wersja s<span>kładanego noża <strong>SR11,</strong> </span>który był ewolucją historycznego modelu<strong> SR-1</strong> oraz zwycięzcą najbardziej innowacyjnego projektu na targach<strong> Blade Show. </strong></p> <p style=""text-align: justify;""><strong>Design</strong> by <strong>Molletta,</strong> owoc współpracy ze znanym i cenionym projektantem z wieloletnim doświadczeniem. <strong>Michele Pensato</strong> (ps. Molletta), wyróżnia się nowym podejściem do wykorzystania materiałów i eksperymentów w zastosowaniu obróbki cieplnej oraz zastosowaniu zaawansowanego oprogramowania przy projektowaniu noży.</p> <p style=""text-align: justify;""><strong>Sleipner</strong><span><span> </span>- uniwersalna wysokostopowa chromowo-molibdenowo-wanadową stal narzędziowa o dużej odporności na zużycie i na wykruszania o zrównoważonym składzie stopowym: zawartość chromu<span> </span><strong>7.8%</strong><span><span> </span>(Cr),<span> </span></span><strong>0.9%</strong><span><span> </span>węgla (C), molibdenu<span> </span><strong>2.5%<span> </span></strong>(Mo) i wanadu<span> </span></span><strong>0.5%</strong><span><span> </span>(V). </span></span><span>Uzyskuje wysoką twardość </span><strong>60-62 HRC.</strong><span><span> </span></span><span>Wytwarzana w stalowni<span> </span></span><strong>Uddeholm.</strong><span> </span></p> <p style=""text-align: justify;""><strong>Głownia</strong> - typu <strong>Drop Point</strong> z wyraźnie zaznaczonym brzuchem zapewnia doskonałą geometrię krawędzi tnącej i ekstremalną wydajność cięcia. Ostrze gładkie<strong> Plain</strong> wyprowadzono <strong>szlifem płaskim</strong> (Flat Grind), który doskonale prezentuje matowe <strong>satynowe</strong> wykończenie.<strong> </strong>Umieszczony na spodzie głowni <strong>występ / flipper,</strong> wspomagany przez <strong>IKBS</strong> ułatwia otwarcie klingi. <span>W pozycji otwartej</span><strong><span> </span>występ</strong><span><span> </span>pełni funkcję<span> </span></span><strong>jelca,</strong><span><span> </span>chroniąc dłoń przed zsunięciem się na ostrze.</span></p> <p style=""text-align: justify;""><strong>IKBS</strong> - (system łożysk kulkowych) umożliwia szybkie, płynne otwarcie klingi.</p> <p style=""text-align: justify;""><strong>Solid<span> </span></strong><span><strong>Frame-Lock</strong><span> </span>- </span><span>wzmocniona, monolityczna blokada klingi z </span><strong>aluminium Ergal. </strong><span>Jedną z okładzin pełniącą rolę mechanizmu blokującego wzmocniono hartowaną stalową wkładką zapobiegającą wycieraniu się czoła blokady.</span></p> <p style=""text-align: justify;""><strong>RotoLock</strong> - blokada z opatentowanym dodatkowym mechanizmem blokującym <span>w kształcie </span><strong>tytanowej tarczy </strong>autorstwa <strong>Gianniego Pauletty</strong><strong>.</strong> Gdy nóż jest otwarty, przekręcenie <strong>RotoLock</strong> o około<strong> 1/8 obrotu</strong> zgodnie z ruchem wskazówek zegara klinuje mechanizm blokady, zapobiegając niezamierzonemu zwolnieniu blokady ostrza, zapewnia stabilność klingi identyczną jak w nożach ze stałym ostrzem.</p> <p style=""text-align: justify;""><strong>Rękojeść</strong> - w <strong>brązowym </strong>kolorze. Wykonana z unikatowego bloku (jednego kawałka)<strong> litego tytanu 6AI4V</strong> obrobionego zgodnie z technologią <strong>Solid® Knife </strong><span>obrobionego w </span><strong>4D. </strong><span>Dzięki czemu pozyskano monolityczny szkielet (korpus) o najwyższej wytrzymałości, będący solidnym elementem konstrukcyjnym. Okładziny chwytu poddano obróbce </span><strong>CNC</strong><span><span> </span>uzyskując antypoślizgową fakturę.<span> </span></span><span>Dwupozycyjny </span><strong>lewo / prawostronny</strong><span> kompaktowy klips</span><strong> </strong><span>pozwala przenosić nóż w pozycji<span> </span></span><strong>tip-up</strong><span><span> </span>(czubkiem ostrza do góry). </span><span>Przykręcony do </span><strong>aluminiowej ramy</strong><span><span> </span>za pomocą<span> </span></span><strong>śruby / zbijaka</strong><span><span> </span>do bicia szkła wykonanego z<span> </span></span><strong>węglika wolframu.</strong><span><span> </span>W tylnej części okładzin</span><strong><span> </span>lanyard hole</strong><span>, otwór na linkę.</span></p> <p style=""text-align: justify;""><span><strong>Etui</strong> - nóż zapakowano w miękki skórzany futerał z tłoczonym <strong>logo producenta.</strong> Zapinany na zatrzask typu Prym, pokrowiec przeszyto na brzegach ozdobną nicią. </span></p> <p><strong>Dane techniczne:</strong><br />Numer produktu: SR22 B, (<span>SR22B)</span><br />Nazwa: SR22 Flipper Bronze Titanium, Satin Blade</p> <p><span>Długość całkowita: 180.0 mm / 7.09""<br /></span><span>Długość głowni: 80.0 mm / 3.15""</span><br /><span>Grubość głowni: 4.0 mm / 0.16""<br />Długość rękojeści: b.d.<br /><span>Grubość rękojeści: b.d.</span></span><br /><span>Waga: 128.0 g / 4.51 oz</span></p> <p><span>Materiał głowni: Sleipner</span><br /><span>Twardość głowni: 60-62 HRC</span><br /><span>Szlif głowni: Flat Grind</span><br /><span>Wykończenie głowni: </span>Satin</p> <p>Materiał rękojeści: Titanium 6AI4V<br />Kolor wykończenia rękojeści: Brown<br /><br />Klips: Right/Left, Tip-Up<br />Materiał klipsa: <span>Stainless steel</span><br />Mechanizm pivota: IKBS Ball Bearing (łożyska kulkowe)<br />Blokada: Frame Lock</p> <p><span>Projekt: Michele „Moletta” Pensato</span><br /><span>Marka: Lion Steel</span><br /><span>Producent: lionSTEEL</span><br /><span>Kraj pochodzenia: Włochy</span></p> <p>Opracowanie: firma<span> </span><strong>Sharg®</strong></p>";115555;sharg
